Category,Date_and_Time,Keywords,Article
Education & Career,"
June 21, 2018 13:39 IST
","
Paint it green
"," It sometimes happens that a student has something lurking on their application that they know isn’t going to make them look good. It could be a bad grade, a less than stellar test score, a disciplinary infraction, anything that they might be unhappy about in their past that, unfortunately, could affect their future chances future.
The thing about academic dips or issues in a student’s past is that they often have a good explanation, as long as you know the student and their context. But how do you communicate that to a college, who doesn’t know the student? How do you deal with potential red flags, if you have them?
For some students, their response is often to try and hide these issues, adopting the “put your head under the covers and hope the monsters go away approach”. But what works for an ostrich doesn’t work for college applications, and in fact, it ends up making the student look really bad if they have a big issue in their application and they haven’t dealt with it. The most common thing I see is a grade dip, or failing out of a class, and that’s an impossible thing to hide.
Owning up
When I worked with a student who had ended up failing a class, it changed the nature of the degree she would be getting from her school, which meant that she had a lot going on on her application that was important to make clear to a college. It may seem insane to you right now, what I’m about to say, but colleges do actually know that you aren’t perfect. They get it. They know you’ve struggled, and made mistakes, that you aren’t good at everything, that you’ve probably had difficulties dealing with some of your educational challenges. It’s okay to admit that, but how you do it can mean the difference between representing yourself as a mature thoughtful person with a full perspective on their life and… not.
The place you would deal with this would be that elusive tricky “additional information” section of the common application. It’s an optional section, and it was built for things like this. So how do you approach talking about something you know to be a potential problem in your application, something that might tip the scales from admission to rejection?
The first thing you have to remember is that what you are giving is an explanation, not an excuse. Candour, self-awareness and clarity are the watchwords of this concept. You need to talk about your issue, be clear and succinct about the problem, and then talk about how you’ve bounced back since.
So, if your issue was an expulsion from school, you would want to explain why you got expelled.Maybe, you were under stress and you acted out. Or you were dealing with some issues at home and it came out at school. Be honest, take responsibility for what happened, and define the emotional context of the issue without dipping into melodrama.
Then, you would want to talk about what has happened since this issue, how you dealt with this expulsion, how you turned it around, and how you’re back on track.
Remember, this isn’t a diary entry, and it isn’t a pity party. It’s a chance to explain yourself, to own up to your mistakes, and to make it clear that you have learned from them. So treat it seriously, but don’t avoid it. You aren’t defined by one mistake; don’t let your application be overshadowed by it either. It’s only a red flag if you let it be one.
The author is Co-Founder, Collegify, a consulting firm for study abroad.
 
"
Education & Career,"
June 23, 2018 16:24 IST
","
Beat those exam blues "," Test anxiety is an intrinsic part of the Indian high-school experience. Stress levels reach their peak during class XII and remain the same until entrance exams end, till a college admission is secured. The National Eligibility-cum Entrance Test (NEET) is one such entrance exam attempted by students aspiring to pursue medical and dental courses. The result for this exam was announced on June 4, set off a whirlwind of emotions across the country.
One of the main reasons behind the immense pressure felt by students writing NEET is the increasing competition, which has culminated in a fixation to perform well, academically. Often, mental and emotional health is completely disregarded, when the focus on scoring is deemed paramount. “Many schools tend to disregard mental health and emotional intelligence as the focus is entirely on scoring. The system has to change to accommodate different kinds of learners,” says Mina Dilip, a child psychologist from Chennai.
Gap year option 
Another practice that is becoming progressively common among NEET students is opting for a gap year after class XII to improve scores. “I had no choice but to take another year to study, and I am happy I made that decision. I would have missed out on so many experiences in my final years of school if I had spent all my time preparing for exams,” says Karan S. Cheeran, a NEET candidate from Kerala.
This practice seems to stem from a sense of being overwhelmed, which is one of the many indicators of stress. While stress has inevitably become a customary part of student life, it is imperative that one is aware of the fine line between what is considered ‘normal’ and what could be potentially toxic. “Fatigue, irritability, loss of interest in social activities, appetite, and disturbed or inadequate sleep are a few signs to watch out for. When parents notice these changes, they must keep an eye on their child. If a child mentions feeling overwhelmed, or expresses a desire to get away, immediate professional help must be sought,” says Mina Dilip.
Parents play a crucial role in this process; simply having their support can significantly alleviate stress. “My parents were hesitant about the break year at first, but I was persistent about it. So, they were supportive towards the end. That was one thing less for me to worry about,”says Meghna John, a NEET candidate from Chennai. 
“Students must prioritise their physical and mental health. They must maintain a healthy balance between academic pursuits and overall health and fitness. Little things such as following a good diet, taking adequate rest, and engaging in daily physical activity can go a long way during exam time. Preparing well in advance can help ease the anxiety and yield better results,” believes Mina Dilip. 
"
Education & Career,"
June 23, 2018 15:57 IST
","
Tiding over dilemmas
"," I am 22 and have completed my graduation in physics from Delhi University, two years back. After that, I worked in an IT company, but resigned, in order to prepare for government exams. Meanwhile, I have developed a taste for history (archaeology, to be precise) and thinking of pursuing it as career. Is it a good career option keeping in mind that there are very few job opportunities in this field? Where do should I start? I mean should I enroll in undergrad or postgraduate courses as both the options are open, and most of the universities ask for a bachelor’s degree to get admission into M.A Archeology? Which universities can I apply to? Please advise me on this. Thanks and regards, — Roshan Kumar
Dear Roshan,
 What I understand is that you have developed a taste in archaeology (with a background in Physics) and would want to work in that field (as a researcher / teacher/ lecturer?) and/or become an archaeologist? To become a successful archaeologist, you first need to obtain a graduate degree, preferably in history, sociology, or anthropology — to get a deeper understanding of the subject. Further, check the admission and the eligibility criteria for related PG courses — Maharaj Sayajirao University of Baroda, offers a three- years bachelor’s degree in Indian History, Culture and Archaeology. Banaras Hindu University, offers two undergraduate courses — a three-years honours programme in ancient Indian history, culture and archaeology, and a three-years vocational programme in Museology and Archaeology. Then there is The Institute of Archaeology under the aegis of Archaeological Survey of India (ASI), New Delhi, which conducts a two-year post graduate diploma in archaeology. 
Jobs with Archaeological Survey of India (ASI) are available both at the centre and the state-levels. Postgraduates qualify for lectureship in various universities across the country. The National Eligibility Test (NET) or the Junior Research Fellow (JRF)-Lectureship examination is a prerequisite for the same. Success in JRF paves way paves the way to a for a doctorate degree in the capacity of a paid research fellowship.
What do you want to do? Are you sure this is what you want, and not just a fancy that you are smitten by right now? Identify and gain complete clarity on what you want first. Meet a competent career counsellor to affirm that you have the aptitude and the attitude (plus personality) for this career choice. All the best to you!
I am unable to talk to people while looking them in the eye. I try my best to stay confident, but I feel uncomfortable. I also want to bond with them, but I don’t know how. Over socializing gives me headaches, literally. Should I seek medical help.— Anonymous
Dear Anonymous,
The inability to look at people in the eye whilst talking could be due to an array of reasons. Maybe you don’t like to socialise and genuinely seek solace. The person at the receiving end, however, might feel that you think, you are ‘better off’, ‘smarter’ or have a ‘higher social standing’ than him or her. This can beembarrassing for you and demeaningfor the latter. It can create disturbance in friendships and relationships.
It can also stem from the fact that you have not organised your thoughts well, or you don’t want to share much — you say too much or too little and make a mess of the communication. The pressure for this ‘performance’ itself must create so much anxiety that it must be nightmarish to meet people. Friends can also feel offended and uncomfortable. You will greatly benefit from a therapist who specialises in behaviour modification, or a coach who can teach you this art.
I am 17 and I have just completed class XII. I am passionate about science and I want to pursue a related career. Ever since class X, I have always wanted to join IISER. But , I need to have a high percentile in the class XII board exam, about which I am unsure of. So, I have decided to try for medical entrance examinations, instead. But to prepare within this short period and being a person who has never attended any coaching, cracking the exams seems almost impossible. Meanwhile, I cracked the JEE Mains, but engineering is not my cup of tea. I am also thinking of going for a repeat, but my family is against the idea. Is going for repeat a good idea?I also have this issue with confidence. At times, I feel like I am good for nothing. Please guide me — Ankita.
Dear Ankita,
Congrats on cracking the JEE mains.What was the ranking? You certainly don’t need to repeat the year. I am assuming that you wrote this email before your class XII results were announced and the uncertainty caused you all this anxiety and fear. What was your class XII score? You can easily apply to IISER. 
There are three channels of admission to IISER. The first is Kishore Vaigyanik Protsahan Yojana channel where candidates having a valid KVPY fellowship commencing from 2018-19 academic session are eligible to apply for admissions. Additional cut-off criteria may be applicable. The next option is Joint Entrance Examination of Indian Institutes of Technology (JEE) channel where candidates in General category, securing a rank within 10,000 in the Common Rank List of JEE Advanced 2018 are eligible to apply. For candidates belonging to reserved category (OBCNC, SC, ST, PD), their category rank should be within 10,000. Third, State and Central Boards Channel (SCB) channel where students who have passed (10+2) level with science stream in 2017 or 2018 with marks equal or above the cut-off percentage in their respective boards as given (CBSE - 88.3, ICSE - 93.3, National Institute of Open Schooling (NIOS) - 83.6) are eligible to apply. For candidates belonging to the Other Backward Classes (OBCNC) and Persons with Disability (PD) categories, there is a 5% relaxation. The cut-off percentage for the Scheduled Castes (SC), the Scheduled Tribes (ST) and Kashmiri Migrants (KM) candidates is 55% in (10+2) level for all boards.
Please get in touch with IISER institutes and get on with your admissions.
I am going to class X. I am concerned as to what to opt for in my intermediate. I want to study psychology and become a forensic psychologist, but I don’t know what to do after class X. Please help — Grace Advitiya
Dear Grace,all the very best for your class X. What board are you studying in? 
I think you would enjoy a B.Sc. in forensic sciences. A prerequisite for admissions would be PCM/PCB with psychology if possible, across your XI and XII. Also, please read the link given below; it will give you a course overview.
https://collegedunia.com/courses/bachelor-of-science-bsc-forensic-sciencess
Good luck.
Nandini Raman has worked extensively with students and young adults across a range of issues.
Disclaimer: This column is not a substitute for long-term therapy but merely a guiding voice. Some issues might be serious and may need medical intervention.
"
Education & Career,"
June 23, 2018 15:39 IST
","
Way of the future
","The job market may have begun to lean towards a candidate who has a breadth of knowledge rather than single-minded specificity. But until this is the norm rather than the exception, students with diverse interests could continue to feel that they have to pigeonhole themselves to succeed. 
Soon, however, they will have the option not only to pursue these distinct paths, but perhaps find meaningful overlaps. Krea University, an upcoming institution at Sri City, will place ‘interwoven learning’ at the core of all its four-year B.A. and B.Sc. honours degrees. This means, stitching together threads from various disciplines to form a cohesive fabric, applied to solve problems in real-world settings.
R. Seshasayee, chairman, IndusInd Bank, is the chairman of the university’s executive committee, and a member of the university’s governing council. He discusses the gap in higher learning that Krea could potentially fill; why interwoven learning was made a priority, and how it can shape leaders of the next generation.
Higher learning 
What the real world requires from those coming out of higher learning institutions is diverging more from what institutions can cater. We have to address this — create something that is more appropriate for the 21st century.
There are many of us, including N. Vaghul, and Raghuram Rajan, coming together for Krea University, because we believe something needs to be done in higher education to prepare the right kind of leaders for the future. Education is central to anything we dream about. 
In the U.S., liberal arts and science colleges give you access to a multiplicity of disciplines. So, you can opt for two or three subjects you are interested in. For example, economics and theatre studies. But merely pursuing these interests separately isn’t what society requires of graduates, and isn’t what would bring out the best in them. So we thought of interwoven, or interdisciplinary learning. The threads from different subjects aren’t just left as loose strands; they’re woven together to produce a pattern and a fabric. This is reflected in the university’s logo too. It is about multiple disciplines coming together for a purpose — to solve problems, or address an opportunity — not just to satisfy curiosity or interests.
Working backwards
We first examined 10 problems each in the fields we wanted to teach. When taking social science, for instance, we considered communal harmony. Next, we thought of the kind of learnings that one needs to address it. It could involve history to tell us which periods in India’s past had communal harmony. What do we need by way of data analytics? What about taking into account ethics, or social impact to make the right choices? It isn’t just a random choice of subjects; interwoven learning brings together relevant knowledge from different domains — it could be data science, political science, or social science
For the first year, students opt for core and required courses, and then choose a specialisation. But even after that, interwoven learning plays a big part. To make this more relevant, we will pick around 20 careers, examine the dominant issues in each of them, and decide what will equip the students to become competitive in that career. This is not abstract or open-ended because in India, students have to be able to take on a career when they come out of an institution. We will have corporates and social institutions partnering with us to facilitate placements. They will be our partners right from the start, involved even in tweaking the curriculum, in order to get the right kind of output from the institution.
Next-generation leaders
Leadersneed to be problem-solvers . Second, they must have an understanding of the major influences shaping the 21st-century. This includes keeping abreast of developments in technology, such as human-machine interfaces or artificial intelligence. It wouldn’t be about just learning C++, but knowing what tools in data analytics or technology are available to solve a given problem. The third aspect,is the most important. Everything is to be anchored on an understanding of ethics and social impact. Not just a moral class, but debating the ethics of the choices that we make to solve a problem.
We have an illustrious academic council. Some of them, like Srinath Raghavan and Gaurav Raina, will be teaching too. They have a huge network of faculty who have worked and trained with them that we may be able to tap into. 
Wedon’t want students to take just another exam. We will consider their past scholastic records, but our intention is to look at the candidate as a multi-dimensional person. The admission process is still being designed, and we plan to keep the student-teacher ratio tight. Admissions for the first batch will be opening later this year. www.krea.edu.in.
"
Education & Career,"
June 23, 2018 15:33 IST
","
KnowlEDGE Quiz
"," 


Q1. The Big Short was a 2015 biographical dramedy film about the financial crisis of 2007-08 which was triggered by the US Housing bubble. It used unconventional methods to explain complex financial terms to lay-people. One such concept was Collateralised Debt Obligation (CDOs), which was explained by a celebrity cameo using seafood stew. Who is the celebrity, who would’ve turned 62 today, if not for his tragic death a few weeks ago?




Q2. The shrike thrush, the blue capped ifrit, and the Pitohui are birds endemic to New Guinea and other surrounding areas. Their steady diet of blister beetles has given them a characteristic usually found in certain reptiles but previously unheard of in birds. Blister beetles, true to their name, use a chemical to defend themselves when threatened, causing blisters on the skin of their victims. What characteristic did these birds get as a result of feeding on blister beetles?




Q3. For the Beijing 2008 Olympic Games, all medals were inlaid with a particular substance, something intrinsically linked to China’s culture and wealth. The raw material sourced for this purpose was taken from the Kunlun Mountains, famous for different coloured versions of the substance. It is the primary substance used in Chinese sculpture. What substance was used for this modification?




Q4.. This term (the _____ effect) was coined by Galai and Sade. The effect states that when investors hear potential bad news about a situation, they will ignore it and bury their heads in the sand, hoping not to be affected by it. This effect is named after a myth surrounding a particular animal. What is the effect called?




Q5. In the book Asterix and Cleopatra which is set in Egypt, Obelix climbs and steps on a part of a monument and modifies it to how we know it today. In real life, the ‘modification’ is allegedly attributed to a Sufi Muslim Sa’im Al-Dahr, who was angry at the devotion shown by villagers to that monument. What are we talking about?




Q6. Perarivalan, known to most of Tamil Nadu as ‘Arivu’, recently completed 27 years in prison. He was only nineteen years old when he was detained, charged, and imprisoned. He was charged based on circumstantial evidence for purchasing a 9-volt battery, which was a key component used in a national tragedy. Which tragedy did he allegedly contribute to?
Answers
A1. Anthony Bourdain.
 A2. They are poisonous birds.
A3. Jade.
A4. The Ostrich Effect.
A5. The Sphinx missing its nose.
A6. Rajiv Gandhi’s assassination.
"
Education & Career,"
June 23, 2018 15:26 IST
","
Metabolic mysteries
"," Heart disease is becoming more common today — what was once considered an elderly person’s disease today affects adolescents too. Scientists and clinicians have come to realise that many patients of heart disease and related problems have a set of traits such as a large waistline, high blood sugar and high blood pressure. These conditions are grouped under the term ‘metabolic syndrome’. 
In India too, this syndrome affects a significant portion of the urban and rural population (up to 25%). Until recently, doctors treated the symptoms individually, and were not successful at this. There can be no hope for a unified treatment without identifying the starting point. Reports also hint that metabolic syndrome patients are more susceptible to cognitive decline, but this too is not well-understood. This makes the area interesting for scientists like Dr. Asha Abraham, Associate Professor at St. Aloysius College, Mangaluru.
Animal biotechnology 
It is a field of applied biology where molecular biology, genome editing and other techniques are used for pharmaceutical, agricultural or industrial applications. Such research has given rise to genetically modified animals that synthesise useful proteins, have better growth rates or are resistant to disease. In Asha’s case, it is used to gather clues about metabolic syndrome.
The research
Since she cannot experiment on humans, Asha works with mice. To be suitable ‘models’ for metabolic syndrome, Asha needs to get her mice to develop the symptoms. The easiest way is to feed mice fatty food and wait for them to become unhealthy. However, Asha felt this was not realistic as most humans do not only consume fat. So she devised a high-fat-simple-carbohydrate diet for the mice that was more similar to diets followed by humans today. Simple carbohydrates are abundant in energy-dense junk food and sugar-rich items. These spike sugar levels as the body can easily break them down into glucose that accumulates in blood. This is less for complex carbohydrates like in whole grains and legumes.
Asha’s diet plan worked on her mice. They began to show metabolic-syndrome like symptoms. The mice are monitored and then eventually sacrificed so the protein and chemical levels in their brain can be measured with techniques like HPLC High-Performance Liquid Chromatography (HPLC). Through her experiments, Asha proved that neurotransmitter levels in sick mice get derailed by this diet and this is likely causing mice to over eat. This could be happening in humans, too.
Academic path
After a BSc in zoology, Asha chose to study the relatively new (at the time) subject of biotechnology at Cochin University of Science and Technology. She continued this with a Ph.D and then obtained a post-doctoral fellowship from the Council of Scientific & Industrial Research (CSIR). She joined St Aloysius College as faculty after two years of research at the College of Fisheries in Mangaluru.
To know more about women scientists of India and their research, visit www.thelifeofscience.com
"
Education & Career,"
June 23, 2018 14:39 IST
","
Gen M: What are you talking about?
"," “Is something wrong? You don’t look too well. Did you have a fight with Sujatha?”
“No, I was late for my chemistry class, and the teacher gave me a good banging.”
“Did you know that the expression ‘to give someone a good banging’ meaning ‘to scold someone severely’ is an Indianism?”
“Really? What’s the expression that native speakers use?”
“They have many. One of them is tongue-lashing! The coach gave a tongue-lashing to all the players.”
“Makes it seem that the coach whipped the players with his tongue! Anyway, I got a tongue-lashing from the chemistry teacher today — in front of the whole class.”
“Must have been quite embarrassing. What did you...”
Nodding acquaintance
“Listen, I have a test in chemistry tomorrow. Do you think you’ll be able to help me?”
“Don’t really think so. I have only a nodding acquaintance with the subject.”
“Nodding acquaintance? Does it mean you don’t know anything about chemistry?”
“That’s not what I mean. When you say you have a nodding acquaintance with chemistry, what it suggests is that you know only a little bit about chemistry. Not much.”
“I see. How about this example? I have a nodding acquaintance with Hindi and Bengali.”
“Sounds good. Suchi was able to help us because she had a nodding acquaintance with the new software. The expression can be used with people as well. When you refer to someone as a ‘nodding acquaintance’, you’re suggesting that...”
“That you don’t know the individual very well. You don’t really talk to him that much.”
“Exactly! You merely smile or nod when you see this person. I have a nodding acquaintance with most people who live in this building.”
“I really don’t know my new neighbour. We only have a nodding acquaintance.”
“You being part of Generation Mute, it’s not really surprising.”
“Generation Mute? What are you talking about?”
“A lot of young people today don’t really like to talk. They don’t talk to people when they are face to face with them or on the phone. But they don’t mind carrying on a lengthy conversation with others by texting or emailing them.”
“Since they prefer to write and not talk, they are a part of ‘Generation Mute’. They’re mute.”
“Exactly! Quite a few people I know are part of Generation Mute.”
“That’s true. Deepak says that he doesn’t have time to make friends. He is so busy...”
“Deepak? Are you talking about your cousin? That proud chap who is always...”
“He’s changed — he’s no longer proud. A few months ago, my cousins and I got together and cut him to size.”
“That’s good to know. By the way, it’s not ‘cut someone to size’ but ‘cut someone down to size.”
“I see. And before you ask, I know what the expressions means. When you ‘cut someone down to size,’ what you’re doing is ‘making them aware that they’re not as important as they think they are. You kind of deflate their ego.”
“Exactly! And you usually achieve this by criticising or making fun of them. After he became the President of the club, Chinthan became insufferable. His friends had to cut him down to size.”
“Whenever my friend Jeevan starts bragging about his good looks, his sister cuts him down to size.”
“If only we could cut some of our politicians down to size.”
* * * * * 
Every aspect of the world today — even politics and international relations is affected by chemistry. Linus Pauling
The author teaches at the English and Foreign Languages University, Hyderabad. upendrankye@gmail.com
"
Education & Career,"
June 23, 2018 14:36 IST
","
Givers and takers
"," A friend was only half joking when she said, “I am in a give-and-take friendship with X. She does all the taking and I do all the giving.” Does this sound familiar? 
Those who study human behaviour divide people into two broad categories: the givers and the takers. Most of us fall into the midway bracket of both giving and taking, keeping a close eye on what goes out while forgiving ourselves and making excuses for taking; but the givers of the world give without counting the costs. Most often they act without thinking, like the man who threw himself on top of a young girl whom he spotted just in time as she crouched on the rails waiting for a speeding train. At the other end are people who are the very opposite: skilled at getting others to do their work and feeling no qualms about taking the credit, be it in an office or in a household where everyone is expected to pitch in. These are the takers of the world. They are also very good at making everyone else feel obliged to them and protecting their interests or making excuses for their inability to contribute what they should by rights have ‘given’. (“My husband was ill.” “ I was travelling.” “My daughter’s examinations…” )
How would you slot yourself? And more crucially, as far as happiness and lightness of mind are concerned, which feels better?
Happiness
Eric Barker whose insights have been widely appreciated (and even tested in small groups) is sure that in the matter of happiness, the data he has gathered over many years show that the crafty climbers who get promoted or rewarded financially are not necessarily happier than those who get left behind despite hard work and commitment to whatever field they might be performing in. By not trusting others, by looking the other way when others need help, the takers actually cut themselves short on what makes people happy. They are the ones who feel low for no reason at all. Who feel uneasy and keep looking over their shoulders. Double-dealing becomes a habit and gradually colours their whole existence. 
Those who donate regularly to good work, who spend time as volunteers, who offer to help before they are asked — studies have shown that these are the people who do not fall into depression or give into anger. They are optimistic about human nature and healthier because their self-esteem and levels of emotional satisfaction keep them happy. They might experience weariness, but rarely unfocussed rage which is an increasingly dangerous public expression of feelings in our fast-paced urban lives. 
Our best work
In a collection of articles produced in honour of a scholar of English Literature, Himansu Mohapatra, titled The Unbilled Hour I came across the perfect model of an academic giver. The long spells of reading, teaching, and writing outside professional requirements goes unnoticed academically but is received and remembered with gratitude by the many students, colleagues and friends who benefited from the generous nature of the scholar. Our best work, as the preface to the book says, is done in the unbilled hour. 
This month, which marks World Environment Day, is a good time to remember the endless giver of life we all depend on: bhoomimata. She gave us ourselves and waits patiently for us to return her dues. If we pay no other bill, that outstanding is something we will surely settle one day.
The author is Series Editor, Living in Harmony (Oxford University Press).
"
Education & Career,"
June 23, 2018 14:34 IST
","
Dynamic headstart "," Tech Bee, HCL’s early career programme, aims at preparing students for entry-level jobs in the company. Srimathi Shivashankar, Executive Vice-President, HCL Technologies, gives a breakdown of the details. 
The programme
The Tech Bee programme is presented by HCL with SSN College of Engineering as the academic partner. The 15-month programme will train students who have completed Class XII and want to take up early careers. It will culminate in a diploma awarded by SSN. Upon successful completion, they will be provided assured jobs with HCL.
Vision
We look at these students as an alternative talent pool whom we can absorb into IT. When we have diversity in the workforce, it brings innovation and very different energy levels. Further, the current generation is choosy about what they want to do even in entry-level jobs. They want their careers to evolve over a period of time, but rapidly as well. They want dynamic job roles. In some households, there is also a need for children to start their careers early. Based on both the behavioural perspective as well as the demographic dividend which we want to leverage, this is the best time to pick up talent to bring into our larger talent pool.
Structure
The programme combines training with skilling. It comprises nine months of classroom training, on engineering and software fundamentals, and six months of job-specific training. While the training will take place at SSN, the students will be deputed at HCL for the last three months where they will be assigned to projects before they get absorbed as full-time workers. 
Curriculum
The diploma programme aims at providing a strong IT foundation and make students ready for entry-level roles in application and infrastructure maintenance. Students will receive technical foundation training, technology/domain training which will be stream-specific, and hands-on project work. They will also learn the fundamentals of IT, software tools and processes, and be exposed to emerging technologies.
The course content and learning pedagogy are mapped to our entry-level jobs. The four diploma streams are in mechanical automation, software engineering, support engineering, and products and testing engineering.
Career
During the programme, students will be paid a stipend of ₹10,000 per month. On completion, they will occupy engineering-level jobs at HCL, in KPO, development, support, testing, mechanical automation and so on. They could also continue their higher education while working, with the option of enrolling into IGNOU for a work-integrated 5-year MCA programme. This way, students will not be compromising on higher education. Weekend sessions for the course will take place at HCL.
Eligibility
Students from any stream with a cut-off of 85% (State Board) or 90% (CBSE) in Class XII, with Math or Business Math, can apply. Screening and selection will be based on an online exam, interview and group discussion.
Fee and scholarships
The programme fee is ₹2 lakh plus taxes. Students need not pay the fee upfront. They can pay it from the third year of work with us, on an EMI basis. Based on the performance during the training, the full fee or a part of it could be waived.
Applications for the Tech Bee 
programme are open. Visit www.hcltss.com or contact 1800 200 1117.
"
Education & Career,"
June 23, 2018 14:23 IST
","
Staying ahead, education-wise "," Spot the similarities between Netflix, PayTM, Instagram, iPads and AirBnB — We can hardly live without them today, none of them are regular words in the English language, and none of them existed 10 years ago.
 However, the last one amazes me the most. These companies that provide income to thousands of people everyday, were mere pipe dreams 10 years ago. Back then, a student wanting to be a “game designer” would be asked to “Be more practical”. There were no bachelor’s courses in data science or digital marketing. How then, was a student graduating supposed to know that her passion for fiddling could be fashioned into toy design? Or that writing could make him a leading blogger one day? How do students graduating today know what the future might hold? Here’s a quick look at what the trends add up to.
What is happening 
The big change-makers are automation, artificial intelligence, globalisation, among many more. This is expected to slow down job growth for manual labourers, factory workers, tellers, security personnel, and others. But, automation is not an enemy. It is an enabler that frees human beings from repetitive labour. Here are the exciting areas that these trends indicate growth in:
Creative fields: Rising income means more people with time and money to invest in life’s higher pleasures such as painting, sculpture, films, and so on.With budget for events going through the roof, enterprising performers will find avenues to showcase their art. Online markets for paintings and stock photographs have opened up avenues for many budding and amateur artists.
Healthcare: Life expectancy has increased by about 30 years since 1841, and healthcare continues to be a major growth area. Cheaper health insurance, multispecialty hospitals, and so on are expected to expand the reach of global healthcare.The demand for doctors, nurses, and medical researchers is expected to boom.
 Investing in education: This leads to increasing demand for school teachers, tutors and education counsellors such as Byju’s in India, Changingedu in China, and Tutor Group in Taiwan.
Scientific research:  Increasing investment in biotechnology (think organ culture, genetically modified foods, and performance enhancement drugs), renewable resources and reducing toxic waste.
Media gets bigger: The Internet has exploded the speed and reach of media — be it news, short film,animation, serials, or advertising. With over one billion websites on the Internet, over five billion Youtube videos being watched every day, and Netflix releasing over 700 original series just this year, media has captured eyeballs and mindspace across the world.
Technology:  Automated assistants that buy gifts for your mom’s birthday, smarthomes that turn off lights, health monitors that call your doctor and cars that deftly avoid pedestrians on roads — none of these are science fiction today. Data analysts, interface designers, game developers and cyber security experts will be in demand, especially those who keep upgrading their skills.
Managers and strategists:  Marketing insights, advertising gimmicks, leadership training and strategy consulting will remain game-changers. Leaders who think out-of-the-box will remain at the top. 
Builders have to build: As people throng cities, rush to work and fly to holiday resorts, the demand for better homes, roads, hotels, malls, and more. Architects, urban planners, civil engineers, interior designers and art consultants all contribute to creating increasingly dense, utilitarian and beautiful spaces.
And lastly, the market swells for personal service and personal consultants — therapists, image consultants, hair stylists, masseurs, gardeners and even dog trainers that work for individuals to make their high-tech, fast-changing lives more fun and productive.
Richa is the author of The Ultimate Guide to 21st Century Careers, Richa leads Inomi, a career and college guidance firm
"
