Category,Date_and_Time,Keywords,Article
Entertainment,"
June 04, 2018 14:59 IST
","
Discovery's new series to focus on Indian Air Force Academy
","Duty, honour and define an air warrior. Walking tall with these attributes are Indian Air Force (IAF) pilots, trained at Indian Air Force Academy located in Dundigul near Hyderabad.
Providing viewers an insight into this prestigious academy is Discovery Channel’s Breaking Point: Indian Air Force Academy to be premièred today. 
The four-episode series will provide a first-person account of the lives of cadets at the Academy. The four cadets, Mudit Tewari, Priya Sharma, Amogh Bhandralia, and Kartik Thakur, chosen for this are currently attending different stages of the course and through them the series will explore the journey of a cadet from a being a civilian to earning the wing in IAF.
“IAF is a place where the government pays for your hobbies. If you have a passion for flying aircraft, this is the right place for you. You are getting the best services here. Your accommodation, uniform, food — everything is looked after, and it is a secure and comfortable environment, especially for girls,” said Air Marshal Amit Tiwari VM, Commandant, Air Force Academy during the launch in Delhi. Having served in the IAF for 36 years now, he remarked, “If given a chance, I would again become a cadet and join the Academy.” The Air Force officials present at the launch, expect youngsters watching this show to become more aware of the IAF and look at it as a career opportunity in its different branches.
The series has been made under the supervision of IAF officials. “While shooting on the ground, we had officers with us at all times. Everything that was shot was sent to the Air Force for consent and it went through multiple rounds of approval,” said Mallika Menon, Executive Producer of the show.
(To be telecast every Monday, 9 p.m.)
 
"
Entertainment,"
June 08, 2018 22:47 IST
","
Fierce like a drag queen
"," We’re all born naked and the rest is drag. Those are lyrics from drag superstar RuPaul’s song ‘Born Naked’ and a line frequently quoted on his show RuPaul’s Drag Race. The words, as per her own declaration, have changed Mumbai-based comedian Supriya Joshi’s life. “It essentially means you can be anybody,” she says right after squealing Miss Vanjie, a famous contestant’s name. “It was like a light bulb moment [when I heard them] and I have never looked back.” The comedian, who was bullied her entire childhood and well into her late teens, accepting her physical appearance took a long journey. It’s one that hasn’t quite ended yet. 
Growing up, Joshi was never exposed to anyone she could relate to in the mainstream. She was constantly bombarded with negativity. “All I heard was that I’m not good, I’m ugly or I’m disgusting,” she reminisces. The message was received and stayed embedded. The constant hammering hasn’t ceded yet. So much so, that there are still days when she doesn’t like how she looks. But thanks to Rupaul’s life lessons, there’s been a shift. “I watched these fat queens [on the show],” she laughs. “All of them are fierce competitors and they love themselves and their bodies.” Joshi will pay it forward this weekend with a talk titled ‘How To Love Yourself When You Are Asked Not To’. As a self-admitted bad planner, there’s no guarantee of Rupaul talk, so you’ll just have to be there to find out. Joshi will, however, talk about her own experiences and engage with the audience. 
As a comedian, she’s often in the spotlight, making her an easy target for Internet trolls. But the barrage of constant insults about her physical appearance though hasn’t dampened her swagger. “I am now at a place where I love my self and I can say it out loud, especially when people like me are expected not to,” she says. “There are so many like me who will hear [that this Sunday] and find strength in that and begin their own journey toward self acceptance and self love.” Reaching out is one of the reasons Joshi, unlike her peers, deliberately makes it a point to document the low moments in her life on social media. 
While her confidence is obvious in our conversation, Joshi’s journey is far from over. The effects of bullying and years of conditioning hardly vanish without a trace. Although her panic attacks have significantly reduced, the social anxiety remains. “I still don’t really like going out that much,” she laughs at how it directly contradicts her chosen profession. “You can be anybody and still feel shitty about yourself.” Nonetheless, she’s hoping to become more approachable as the next step in her journey. And we could all take a leaf out of Joshi’s book parting with words from the very wise RuPaul: 'If you don't love yourself, how in the hell you gonna love somebody else?’ 
Supriya Joshi drops some truth bombs
Start watching Rupaul’s Drag Race, your mind will expand and so will your vocabulary.
Take small steps towards learning who you are and don’t hold yourself back from doing the things you want to do, unless it’s killing somebody. Then you should definitely hold yourself back. 
Who gives a sh** who’s laughing at you? You’ll never see them again. 
Don’t be so hard on yourself. 
If you think ‘I can’t do this because I’m fat and ugly’, then that moment is gone and it will never happen again and you might regret it. 
How To Love Yourself When You Are Asked Not To will take place on Sunday June 10 at Kala Studio, Khar West at 5 p.m. Entry is priced at ₹150; more details at 9892075622
"
Entertainment,"
June 08, 2018 14:21 IST
","
These TV shows bring mental illness to the forefront ","Because the Netflix algorithm has started to know me a little better, earlier this year I was aggressively wooed by two stories in particular: the controversial TV show 13 Reasons Why (whose second season was released recently), and the much lesser-known 2011 documentary The Woodmans, about the life and works of Francesca Woodman, a photography prodigy who committed suicide at 22. Both of these narratives prominently feature themes of anxiety, depression and suicidal tendencies (The Woodmans also throws in the art/artist dichotomy in the mix). They are part of a growing wave of recent films and TV shows that places mental health issues front and centre: BoJack Horseman, Jessica Jones, This Is Us, Shameless, Broad City, Please Like Me and many, many others.
Rewind to the ’90s
This is not surprising by itself: after all, back in the ’90s, after the stigma around HIV-AIDS was beginning to dissipate, we saw a bunch of excellent stories that involved AIDS, including the Tom Hanks classic Philadelphia, or the assorted works of artist and AIDS activist David Wojnarowicz. What is surprising about television in 2018 is that in most cases (This Is Us and Jessica Jones, in particular), the depiction of mental health issues is sensitive, often directly helpful for patients or caregivers. And in several cases, it is conceptualised by writers with first-hand knowledge of, say, the mechanism and physical symptoms associated with a panic attack. Nick Sheff, one of the writers of 13 Reasons Why, wrote a Vanity Fair op-ed not too long ago, defending the show’s treatment of its protagonist Hannah’s suicide (the scene, although well-shot, makes for deeply uncomfortable viewing). Sheff pointed out that the depiction was drawn accurately from the writer’s own suicide attempt — and similar experiences that he knew of.




It is not as if mental health issues were never touched upon by previous generations of filmmakers. But two things held back the quality of these stories. First, the undeniably widespread nature of the stigma against it. Second, the lack of scientific knowledge meant that characters on the entire mental illness spectrum were all painted with the same broad brushstrokes of ‘madness’ or ‘paagalpan’ in the Indian context. Take Beyhadh, the smash hit Sony soap opera of last year, for example: almost every episode has somebody slagging off the show’s villainous leading lady for being a ‘paagal aurat’ (mad woman).
Modern narratives
Today, however, things have changed for the better. The iconic mental health narratives of the ’70s and the ’80s had focussed steadfastly on the ‘covert’ or ‘private’ aspects of mental illness. Stories were set in lunatic asylums (Asylum, One Flew Over the Cuckoo’s Nest), and key scenes invited viewers into the deeply private moments of mentally ill protagonists (think of Robert De Niro’s masterful mirror scenes in Taxi Driver and Raging Bull). The premises of the asylum were very important because the malefactor, the unspeakable mental illness itself, must be ‘contained’ effectively.




The major mental health narratives of the ongoing epoch are, conversely, concerned with the public — the negotiation of public spaces (schools, offices) while being mentally ill. BoJack Horseman must figure out how not to melt down while talking to Charlie Rose on primetime television. Hannah Baker (from 13 Reasons Why) curses the day she read out her confessional poetry (dealing with anxiety and peer pressure, among other things) in private to a friend; she is soon ‘outed’ as an anxious, probably depressed person.
Public vs private
The case of Jessica Jones (from the eponymous show) is the most instructive one. She is a private investigator recovering from PTSD (posttraumatic stress disorder) — on the surface, the kind of person who would never be publicly noticed. It is her business, after all, to be discrete, hidden away. But her other life, that of a superhero, forces her to take on viable threats in an ‘open and notorious’ manner: the climactic battle of the show, notably, is an open-air sequence with the oodles of space emphasised.




Jones must negotiate the outside world and all that it can throw at her, while being mindful of her PTSD. Her best friend and foster-sister Trish Walker’s case is the converse, although it also involves PTSD. Trish is a radio show host and former child actor, a blond, attractive celebrity. She is also a survivor of physical and mental abuse at the hands of her mother. As an adult, therefore, she is secretive, paranoid, almost to the point of being anti-social. Her flat has panic rooms and deadbolts.
For both Trish and Jessica, the public has bled into the private, against a backdrop of mental illness. And that is the primary conflict that reels in viewers: we see our own stories in these characters’ struggle to function in the public sphere.
Trigger warnings
This is not to say that there aren’t missteps along the way. For all its peccadilloes, I found 13 Reasons Why extremely compelling in parts. However, I do agree that Netflix goofed up big time initially, by not tagging the show with trigger warnings. If you are making mental illness one of your show’s draws, it is surely germane to anticipate the impact on your target audience? In this case, we had a show with brutal, unflinching depictions of rape, clinical depression and suicide. And for a while, it was easily accessible to anyone, without a single trigger warning. Thankfully, this was corrected soon after users spotted it and called out Netflix for the oversight.
Closer home, we do have the odd feature film like Margarita With a Straw or A Death in the Gunj, that treats this subject with empathy. But looking at the likes of Beyhadh, it is fair to say that we will not be getting a This is Us or a Jessica Jones of our own anytime soon.
"
Entertainment,"
June 08, 2018 12:43 IST
","
‘13 Reasons Why’ renewed for season three "," Netflix has green lit the third season of its controversial hit series,  13 Reasons Why.
According to The Hollywood Reporter, the teenage drama will return next year with 13 new episodes.
 The announcement comes less than three weeks after the show, one of the most streamed ones on Netflix, returned for its sophomore season. 
 The core cast, including Dylan Minnette, Miles Heizer and Alisha Boe, among others - are all expected to return, except Katherine Langford.
 Langford, who played the lead Hannah Baker, confirmed her exit from the series after its second season bowed out.
 The first season of 13 Reasons Why explored why Hannah committed suicide and the follow-up installment saw the aftermath of her death - her ghostly manifestation for Clay (played by Minnette) or his delusions.
Season two ended with Bryce serving only three months of probation after being arrested on charges of felony sexual assault; gearing up to leave Liberty High School and Clay thwarting a mass shooting at the hands of Tyler - a ticking timebomb. 
Production will resume later this year. 
"
Entertainment,"
June 10, 2018 22:31 IST
","
U.S. networks agree to end casting couch ","The largest U.S. actors’ union and the four major television networks on Saturday agreed to limit auditions in private hotel rooms and homes, ratifying a guideline the screen actors’ guild had enacted on its own following the #MeToo uproar, the union said.
SAG-AFTRA, which represents 1,60,000 actors, and management from ABC, CBS, NBC and Fox reached a tentative agreement on a three-year contract that also includes an array of pay increases, the guild said in a statement. 
The networks and union agreed to language similar to that from the union’s own Guideline No. 1, issued in April, which called for an end to auditions, interviews and similar professional meetings in private hotel rooms or at private residences.
SAG-AFTRA President Gabrielle Carteris said at the time the goal was to eliminate the potential for “predators to exploit performers behind closed doors under the guise of a professional meeting.”
The so-called casting couch has long been used by men seeking sexual favours from actors in exchange for roles in films.
The measures followed the industry outrage after news reports of sexual misconduct by Hollywood producer Harvey Weinstein were published. 
"
Entertainment,"
June 10, 2018 11:44 IST
","
Priyanka Chopra apologises for ‘Indian nationalists’ terror plot in ‘Quantico’ ","Priyanka Chopra apologised for a recent episode in Quantico, following online backlash for the ‘Indian nationalists’ terror plot line in her show.
The 35-year-old actor took to Twitter to clear the air around the episode, titled ‘The Blood of Romeo’, which received a lot of backlash from Indian fans of the show, who criticised her of being a part of the storyline that showed India in a negative light.
Calling herself a “proud Indian”, Chopra said she is “extremely saddened” and that hurting sentiments of people was never her intention.
 
I’m extremely saddened and sorry that some sentiments have been hurt by a recent episode of Quantico. That was not and would never be my intention. I sincerely apologise. I'm a proud Indian and that will never change.

“I’m extremely saddened and sorry that some sentiments have been hurt by a recent episode of ‘Quantico’ That was not and would never be my intention. I sincerely apologise. I’m a proud Indian and that will never change,” she tweeted.
Chopra’s remarks come a day after ABC’s statement where the network apologised for stepping into a “complex political issue” with the latest episode of Quantico, which showed ‘Indian nationalists’ planning to carry out a terrorist attack in Manhattan and frame Pakistan for it days before a summit on Kashmir.
The producers said the actor was not to be blamed for the episode as she did not have a creative control over it.
Chopra, who became the first Indian actor to play a lead role in an American TV series, portrays FBI agent Alex Parrish on the show, which is currently in its third and final season.
"
Entertainment,"
June 14, 2018 17:39 IST
","
Care for some Black magic?
"," He can charm the crowd with a spell, conjure umbrellas from thin air, make things disappear and also dances a fine jig. Magician, illusionist and dancer Alex Black from Russia is a master of all trades. Combining choreography with 3D mapping magic, acrobatics and juggling with comedy and illusions, the magician brings a blend of entertainment in his shows.
Touring the country for the first time with a full-fledged team, Black performed to packed audiences at Sir KP Puttanna Chetty Town Hall over the weekend after which he took time off for a chat with MetroPlus.
Black shows a lot of respect for India and its magical culture. “I do my own version of the rope trick that originated here in India. It is popular abroad. Of course, the original Indian rope magicians used big ropes. Maybe next time I’ll try to use a rope too. India is a great country for magic. People here love it and even fellow magicians from here have seen us and appreciated what we do.”




Black is quick to point out that magic is not like it used to be. Agreeing that pulling a rabbit out of a hat is now child’s play, he says: “Magicians now have to work harder to impress their audience. It’s also important to keep yourself updated on new technology and constantly innovate. Sometimes it is hard to do new things. For me, because this is my life, it comes like second nature. From the time I wake up till I sleep, I’m always trying to create something new magically. I wake up in the morning and think about magic and go to sleep doing the same.”
Black goes on to say that just doing magic is not enough anymore. “Entertainment is the key and you need to bring the full package when you are on stage. If you are not a good performer or you don’t connect with your audience, it can never be a good show. Dance works for me. It is my way of being different.”
He leans in and shares a little secret about his dance act: “Today, just before the show, I think I broke my little toe while practising a stunt. I have it bandaged tight. It hurts, but the show must go on. When you are on stage, what has to happen has to happen.” He continues on how dance became his passion: “I graduated from the Circus University in Saratov, Russia many years ago. That is where we learnt all disciplines from dancing to juggling. That is where dance clicked for me. I’m also a big Michael Jackson fan. He is my inspiration and that is why I do the moonwalk with the iPhone in one of my tricks.”




The 29-year-old says: “When I finished school, my father wanted me to study law since he was a lawyer. However, my calling was magic. I was already doing card tricks and I took my passion to the Circus University. After that, there was no turning back. I got in and put in a lot of hard work for the four-and-a-half years of training there. Soon after, I started my own show that took me across Russia for three years. Then, we took the show abroad, including the US, Germany, Dubai and China. Now I’m happy to be here in India.”
The conjurer points out that he would love to return to India with new tricks. “I’m testing the ground here with a balance of serious stuff and comedy. The blend between entertaining and thought-provoking acts is what makes a show successful. In fact, almost all of our routines have a concept. One thing I strongly propagate is the need for peace and not war.”




Going back to the marriage of technology and magic, Black says he loves to mix and match. “If you are a street magician, you’ll do only street magic. But I try to do everything from street performances to TV shows and close-up sleight-of-hand to dramatic big escapes. It is important for science and magic to work hand-in-hand. One cannot do without the other.”
He adds: “It’s a shame when people open up our secrets. If it’s not your idea, you shouldn’t reveal it. For us this is our livelihood. They are trying to kill the beauty of magic. This, however, pushes us to innovate all the time. It is challenging and we have to change the programme every time someone discloses a secret.”
"
Entertainment,"
June 14, 2018 15:40 IST
","
A date in the dark for Ayushi
"," There are many reasons why Fever FM’s, city-based RJ Ayushi agreed to participate in MTV’s Dating in the dark (DITD). One, she is nictophobic (fear of the dark), afraid of love and wanted to be the first RJ from Hyderabad on a show for MTV. The show, DITD, is a dating reality show that could be a daring adventure to remember or could mean nothing at all to some. Based on the famous international TV show with the same title, DITD gives a chance to three single men and three single women to get to know each other by losing all their inhibitions and trusting their instincts. A group date is set up in the dark, for the singletons to talk to each other, feel each other, smell but certainly not see each other until the time is up.
With the available knowledge and after viewing the international show it wasn’t just Ayushi who was apprehensive. Her team members and family too wanted her to reconsider her decision on entering the show. “I approached the programme heads of the show with my doubts and they assured me that while the idea is the same, the format was planned and designed keeping in mind the Indian sensibilities,” says Ayushi
Assured, Ayushi made up her mind to participate in the show. She was a bundle of nerves and excited at the same time. “I knew I would play my game with words and I wanted to know how and what would my date do to win me. Since we were all in one room and we would require to spend a good amount of time, we were all smelling good,” laughs Ayushi.
On the first day of the show she met the girls in one room and shared a lot of gossip. “Actually that made us look forward to meeting the guys. Falling in love in a day or in a meeting or two is not what I would agree to. Having had not so pleasant experience with love, I had decided to go with my guard on,” says Ayushi.
After the first meet with all the participants, the contestants invite one another for a romantic one-on-one date in the dark. It is all fun and games until it gets real with the contestants finally coming face to face with each other in the revealing process. The participants can touch and feel each other and smell as well, how did Ayushi agree to that, “I touched face and hand. One guy I could tell, works out and had good biceps. The other had a beard and wore beads, so I guessed he was into music. My guess came out right. I was especially impressed with one of the guys who got jelly for me. I also loved the way he spoke, made me feel special,” recollects Ayushi.
Did she allow anyone to feel her, “No, I didn’t let anyone touch my face. I wasn’t ready to ruin my make up and surprisingly the guys were very understanding, “ says Ayushi.
And what happens in the end? “Each episode climaxes with the contestant either meeting their potential partner in the balcony of the house or exiting the house straight through the front doors,” she adds.
"
Entertainment,"
June 14, 2018 13:59 IST
","
Deriving the happiness quotient "," 
Dhanya Varma has scored a perfect 100 and her happiness knows no bounds. Well, when one is anchoring a talk show called The Happiness Project, the happiness has to spill over into the lives of the participants as well. Dhanya, hostess of the show on Kappa TV, which began in October 2017, has hosted 100 guests in her programme, all of which revolved around one’s definition and pursuit of happiness. 
Sharing experiences
“It has been a learning experience that has given me innumerable takeaways. Many of the guests, young and old, newcomers and veterans, have had deep, insightful views to share and each brought in a different USP to the show,” she says. 
It was not only the celebrities who had nuggets of wisdom to share with the viewers. There were pioneers, leaders and survivors, all achievers in one way or the other. 
“For instance, visually challenged Tiffany Brar is not all that well-known to our viewers. We showcased her and her story of courage and it was one of our popular episodes. There was so much one could learn from her. In the same way, Uma Preman has been and continues to be such an inspiration. Her indomitable courage and determination have touched the lives of so many people,” says Dhanya. 
Conceptualised by Sumesh Lal, content head of Kappa TV, the show has a mix of celebrities and bravehearts from different walks of life. Hosted by Dhanya with a great deal of grace, her style of conversation and questions put the guest at ease while they discuss myriad aspects of happiness. “Each guest has his/her happiness quotient. Young actor Kalidas Jayaram pointed out how important it was to spare at least one hour every day for your body. Apparently, his personal physical fitness instructor had impressed him with this simple explanation on the importance of fitness. I thought it was a piece of advice all of us could use. It was such an interesting insight on happiness,” she says over the phone from Kochi, where the full-time, hands-on mother of two lives. 
Refusing to choose a favourite among her guests, she says it would not be fair because all the guests are special and have some kind of inspirational quality or the other. So, how are the guests chosen? “We should feel like talking to them and getting to know them better,” pat comes the answer.
So there was Harish Sivaramakrishnan, lead vocalist of Agam, smiling from ear to ear while talking about the day his daughter was born. That, he said, was the happiest, moment in his life. 
Then there was writer P. Balachandran talking about his tryst with happiness, actor-model Kani reflecting on what keeps her inner light aglow, Nimisha Sajayan on her choices and so on. “V.K. Prakash was another delightful speaker. He says he is able to juggle so many projects because he never wastes time mulling over things. There is so much of positivity and energy about him,” she recalls. 
The only time Dhanya thought she had stumbled was while conversing with musician Shahabaz Aman.
 “It was on a very different level. Although I greatly enjoyed the episode, I wondered how viewers might take it. Later, I was pleasantly surprised when I won a lot of compliments for that particular episode,” she recalls, obviously pleased with the end result. 
She says it is a special privilege to be invited into the personal spaces of the guests. Unlike other interviews where the focus might be on work, family and other issues, in this show, the guest permits viewers to take a peek into his inner self and his mindscape. 
So, where does the show go from here?
“Wait and watch!” she laughs, signing off on a happy note.
(The Happiness Project is telecast on Saturdays at 9.30 pm and on Sundays at 10 am)
"
Entertainment,"
June 15, 2018 14:06 IST
","
How to go crazy: a day at the ‘Bigg Boss’ house before season 2 kicks off "," It was a watershed moment for Oviya’s fans when she left the sets of Bigg Boss last season, citing mental health reasons. Her critics, however, claimed it was all an act and that she was being puppeteer-ed by the show’s producers. I spent one day inside that house, and I must say, I side with Oviya. Jump into the pool? Why, I would have climbed the walls.
Let me go back 24 hours to explain why.
It’s five minutes before I enter the Bigg Boss house and I have been blindfolded. So the burst of colour when I first step into the house is disorienting.




At first glance, the set looks much the same as in the previous season from outside — the house with the Bigg Boss hoarding, the swimming pool to the right, the sofas and treadmill to the left and the synthetic grass. It’s like stepping into a gaudy resort. 
However, there’s one addition: on the right of the entrance is a jail with one iron bed and no mattress. It’s a literal prison inside a figurative one. It remains to be seen which of the presumably volatile participants that Vijay TV has roped in will be sent here for flouting rules.
The interior arrangement has been shuffled around a bit to give it a new look, but essentially has the same rooms: two bedrooms (one looks like a pink bubblegum volcano erupted inside it, coughing up butterfly bodies on the walls), with an additional attached bathroom this time, the kitchen area, the living room area, the seating area facing the television screen and of course, the sci-fi-looking confession room. This is going to be the 15 contestants’ world for the next 100 days, starting this Sunday.
Random projections hang on the wall: gear-props to wallflowers. The table in front of the TV is designed like the face of a watch, as if to mock the contestants’ total ignorance of what the time really is. We were looking at the sun for answers. Imagine living in a drab grey-walled house for 100 days.




Even one day in the House throws up material enough for a two-level study: individual psychology and community anthropology. As the hours pass by, one can make out the introverts, the initiative-taking leaders, the loyal followers, and the non-committal loners.
If you thought Season 1 was the depiction of an invasive totalitarian regime, here’s a fun fact. The cameras in the place have been almost doubled from around 30 to 60. Bigg Boss is watching. From more angles this time.
In 1961, a year after the trial of Nazi war criminal Adolf Eichmann, Stanley Milgram began a series of now-famous experiments that demonstrated the ease with which people submitted to higher authority. The contestants of Bigg Boss are living, breathing proof of that.
Bigg Boss’s low, controlling voice booms out of the speakers: Assemble in the living area, Come to the confession room, Sit down on the sofa, Don’t stand, Don’t sleep. When Bigg Boss says something, you comply; no questions asked.
The most interesting of all is what the human mind can come up with when all their toys — phones, laptops, books, pen, paper, and even literal playthings — are taken away from them. It was a digital detox, a futuristic dystopia set in cavemen times. At least cavemen had rocks.




One of us began fiddling with a water bottle for fun. Soon, that turned into a game of flipping the bottle to make it land vertically without toppling. Once we got bored with that, we took to throwing a hairband as a hoop with the bottle as a target.
By lunchtime, we took the game outside, creating a game of bowling, with four bottles as pins and decorative wooden pebbles as our ball. The most popular ones though were the trustworthy games of catch and cricket that we designed with tissue paper balls and tray bats. In one of our quieter moments, we collectively observed a fly. Yes. A fly.
The most challenging part of Bigg Boss is the complete lack of control over your sleep habits. Every so often, one sleep-deprived journalist, lacking stimulation, would nod off to sleep, only to be forcibly woken by the sound of barking dogs over the speaker. Never in my life did I imagine that I would hate an AR Rahman song when Mersal’s ‘Aalaporaan Thamizhan’ blasted over the speakers in the morning to wake us up. I glared at the cameras glaring at me, until we were locked in a stare match which I lost.
As usual, it took the darkness of the night to draw gossip out of people. It was after lights-out that bonding began, secrets spilling out, one hand covering the mike. The elimination rounds once again proved humans are designed to be social animals. It was the introverts, the ones sitting alone that got eliminated the first.
When we stepped out of the house 24 hours later, and were handed our belongings, the notification tings and bings filled up the room — it was a happy reunion of our phones and us. But more importantly, it was then that I scratched my nose red with impunity, with no cameras around.
Bigg Boss airs on Vijay TV from this Sunday evening at 7 pm. The show runs from Monday to Sunday at 9 pm
"
