Category,Date_and_Time,Keywords,Article
Food & Health,"
June 02, 2018 13:50 IST
","
A whiff of Goa in Green Park "," There is nothing quite like nostalgia, as I often say. I felt the magic of old memories one evening a couple of weeks ago when I went to meet two old friends, in a restaurant that I had first visited long years ago. I ate food that I always associate with leisure and fun. The amps belted out the unlikely combination of the Doors and Boney M. All put together, it turned the evening into a memorable one.
Okay, let’s start at the beginning. The friends in question are two great food lovers and chefs — Crescentia Scolt Fernandes and Chrysologus. I met them long years ago when I was going past Meharchand Market one day, and suddenly spotted a restaurant that served Goan food.
On the ground floor was a tent house, and on the first floor was Bernardo’s. I met the two owners, struck a chord, ate a grand meal, and followed them with great interest as they moved from Meharchand to Chittaranjan Park to Gurugram.
I always wanted to visit them again, but Gurugram was much too far for me. Then, recently, they got in touch with me and said that they were collaborating with this happening restaurant called Turquoise Cottage (TC).
I remember TC because many years ago, when restaurants were still opening up in Delhi, it had made a name for itself for its food, music and media nights. The restaurant was in Adchini those days, and is now in Green Park, And every weekend, on Saturdays and Sundays, Crescentia and Chrysologus are there with their special Goan dishes.
They know about my fondness for pork, so there was this delicious smoked Goan sausage dish with pao to begin with. Cres and Chrys make their own sausages (which they also sell), and this was spicy and smoky – and simply superb. One pork dish is never enough, so there was a plate of pork chilli fry, too — strips of succulent pork stir fried with onions, potatoes, chillies and spices. The pork was melt-in-the-mouth soft, with just the right amount of fat dripping from it, and I had a great time mopping up the fat with a bit of the pao, and listening to what they now call retro music. 
You cannot have Goan food and not have seafood. So we had something called Rissois de camarao – which is essentially a Portuguese dish of gujiya-like pastries stuffed with shrimp and other seafood, deep fried. With a casing of flour and bread crumbs and a minced shrimp stuffing, it was a delicious starter. The cammarao recheado was a dish of prawns stuffed with spicy tangy masala made with red chillies and toddy vinegar.
I thought I couldn’t eat another crumb by then, but decided I had to try out something that wasn’t pork or seafood. So we zeroed in on the chicken cafreal, a dish that had surprised me no end during my Goa visits – because I didn’t think I would get wowed by chicken. But the cafreal appeals to me because of the spices and the subtle flavours of coriander. Shallow fried, it allows the meat to trap the juices and the flavours well.
Sweet ending 
I ended the meal with some bebinca – a Goan-Portuguese dish prepared with coconut milk, flour and eggs – and some vanilla ice cream, and thought what a lovely evening it was. I was with old friends who were passionate about food. My kind of music was playing – well, blaring out would be more appropriate – on the terrace where we sat. Cres and Chrys, who were far away from me, had come closer. What else could one ask for?
"
Food & Health,"
June 02, 2018 11:25 IST
","
Heritage in every grain
","Nel Jayaraman, Tamil Nadu State Coordinator of the Save Our Rice Campaign, stood tall, unmindful of the heat, greeting people and keeping an eye on the preparations. The 12th annual Nel Thiruvizha brought together thousands of paddy farmers from around Tamil Nadu and a few from neighbouring states as well. The wedding hall in Thiruthuraipoondi was a sea of colour with farmers in white veshti and shirt with a bright green thundu thrown over their shoulder, and the women in bright saris. Youth volunteers were everywhere — managing logistics, serving food and water and manning the registration desk. 




There were speakers, microphones, cameras, lights and speeches wherever one turned.
People who came early were witness to the rally that began from the centre of Thiruthiraipoondi town. A handsome Kangeyam calf was led out, followed by a bullock cart with vegetables, fruits and other crops, a basket made of straw, plastered with cow dung and filled with paddy seeds alongside a photo of agricultural scientist and environmental activist Nammalwar. The idea was to create awareness about traditional food and seeds. The seeds were brought in and placed reverently in front of the hall, signalling the beginning of the Nel Thiruvizha, organised by the Save Our Rice Campaign and other groups. 
The thiruvizha has become an integral part of the agriculture calendar of Tamil Nadu farmers. It is no longer an event by Save Our Rice alone. It has become a public event with local people from in and around Thiruthuraipoondi and Thiruvaroor participating in large numbers and paddy farmers coming from all corners of the state. 




An enclosure with 12 tonnes of seed was the focal point of the meeting. The thiruvizha is the high point of the year and sharing these seeds is sacrosanct. Jayaraman reeled off facts and figures, “We were ready with 12 tonnes of seeds across 164 traditional paddy varieties. We multiplied large quantities of Karuppu Kauni, Mappilai Samba, Jeeraga Samba, Thuyamalli, Poongar, Kullakar, Kichadi Samba and Kuzhiyadichan. By the end of the second day, approximately 11.5 tonnes of paddy seeds were distributed to 5742 farmers. Farmers also returned around 3.5 tonnes of seeds. This is a system of barter based on honour. We give each farmer two kilos of seed; they bring double the quantity back the next year. Almost 60 per cent do this. Many share the seeds with their neighbours leading to a multiplier effect. Every farmer signs a pledge that he/she will grow the seeds though organic methods.”
Farmers collect paddy varieties and also return varieties that they had taken earlier and multiplied. The event has become an annual meeting point where farmers growing traditional varieties of paddy using organic techniques meet fellow sojourners, share notes, listen to speakers, visit exhibition stalls with seeds, books, food products and agriculture implements. 
Ponnambalam, one of the pillars of the campaign, reminisced, “The first thiruvizha was inaugurated by Nammalwar in 2007. Adirengam village, eight kilometres from Thiruthuraipoondi town, was the venue and the meeting was held in the paddy fields lying idle post-harvest. We welcomed the 147 farmers with seven traditional varieties (Kattuyanam, Kuzhiyadichan, Kudavalai, Panangkattu kudavalai, Poongar, Sigappu kauni, Garudan samba).” 




Usha Kumari, who has led the Save Our Rice Campaign since its inception, remarks, “Seed saving and conservation is an integral part of agriculture. They lost favour with the introduction of high-yielding seeds and commercialisation of seed production as part of the Green Revolution. In the process our wealth of traditional varieties was lost. The thiruvizha is not only a reminder of what we have lost, but also of what we can recapture. The conservation and revival of traditional paddy varieties has become an imperative with climate change causing havoc in agriculture. We have to revive these resilient traditional varieties and introduce them into the fields.”
These farmers and seed conservers are not rich. They battle adversity every day. They are challenged by climate change, lack of water and a market. Yet they have decided to adopt organic paddy cultivation and to conserve traditional varieties. 
They have found that these traditional varieties, which are our heritage, could be their saviours in these uncertain times. In the process, they have become the saviours of these seeds that, if not cultivated season after season, could cease to exist. 
Saving rice 
In December of 2004, 150 activists working on agriculture and environment came together in the small picturesque village of Kumbalangi near Kochi, in Kerala, to discuss the future of paddy farming. Usha Kumari and Sridhar Radhakrishnan, who led the campaign, travelled around meeting people working on seeds, organic farming and farmers and The Save Our Rice Campaign emerged with the objective of conserving rice ecosystems, sustaining rice culture and diversity. In 2006, the Campaign began work in the three paddy-growing states of Kerala, Tamil Nadu and Karnataka and then moved to West Bengal as well. Twelve years later, the seed conservation work has been adopted by tens of thousands of paddy farmers in the four states.
Sreedevi Lakshmi Kutty is a Consultant to the Save Our Rice Campaign and the Co-Founder of Bio Basics, a social venture retailing organic food .
"
Food & Health,"
June 03, 2018 22:43 IST
","
More breast cancer patients can skip chemo, says study
","Some 70% of women with early-stage breast cancer and an intermediate risk of cancer recurrence can safely skip chemotherapy after their tumours have been removed, U.S. researchers said on Sunday.
“This is a major finding,” said Dr. Larry Norton, a breast cancer expert at Memorial Sloan Kettering Cancer Center in New York, who helped organise the government-funded study more than a decade ago.
“It means that maybe 100,000 women in the U.S. alone do not require chemotherapy,” Mr. Norton said.
The research, presented at the American Society of Clinical Oncology (ASCO) meeting in Chicago, studied how to treat women with early-stage breast cancer that responds to hormone therapy.
Women were deemed to have a medium level risk of the cancer coming back based on a 21-gene panel known as Oncotype DX from Genomic Health. The test predicts the likelihood of cancer recurrence within 10 years. Those who score low on the test — from zero to 10 —are already told to skip chemotherapy after their tumours are removed and they receive hormone therapy. Those who score high — 26 to 100 — receive both hormone therapy and chemotherapy.
The study, dubbed TAILORx, was also published in the New England Journal of Medicine. It involved more than 10,000 women with breast cancer that had not spread to nearby lymph nodes and whose tumours respond to hormone therapy and test negative for the HER2 gene. Of those, 6,711 scored in the intermediate range of 11-25, and were randomly assigned hormone therapy alone or hormone therapy plus chemotherapy.
The study found that all women over 50 with this type of breast cancer could skip chemotherapy, a group that represented 85% of the study’s population. In addition, women 50 and younger who scored between zero and 15 could be spared chemotherapy and its toxic side effects.
Some benefits
However, chemotherapy did offer some benefit to women aged 50 and younger who had a cancer recurrence score of 16-25, researchers found. Dr. Steven Shak, chief scientific officer at Genomic Health, said about four in 10 women in the U.S. with early stage breast cancers are not tested for recurrence risk. He expects the study’s results will change that practice.
“This is going to provide the highest level of evidence now for our test being indispensable in clinical practice,” Dr. Shak said.
The company currently provides tests to more than 900,000 patients in more than 90 countries, Dr. Shak said. In the United States, the test costs $4,000 and is covered by Medicare and all major private insurers.
"
Food & Health,"
June 03, 2018 00:02 IST
","
On Parkinson’s trail ","Despite research spread over decades, scientists are yet to figure out the cause for Parkinson’s disease, a neurodegenerative disorder. One thing is clear: the aggregation of a protein called alpha-synuclein plays a key role in development of the disease. The aggregation pathway of this protein is the subject of intense research and studies so far have focussed on protein aggregates, called amyloid fibrils, which form late in the aggregation pathway.
Researchers at the CSIR-Indian Institute of Chemical Biology (CSIR-IICB), Kolkata, have now proposed that alpha-synuclein oligomers that come into the picture early in the aggregation pathway could be responsible for the development of Parkinson’s.
They used two amino acids to conduct their study in live neuroblastoma cells. The first one was glutamate, which happens to assist the formation of amyloid fibrils by facilitating generation of early oligomers. The second one was arginine, which inhibits amyloid fibril formation by inducing a large change in the shape of the native protein.
The study has shown that it is possible to monitor early events of the aggregation pathway when the native protein fluctuates in its monomeric states or when it forms early oligomeric molecules by using a combination of conventional methods and spectroscopy at the single molecule level.
“We have shown that it is possible to monitor and understand the early events in aggregation. It gives us hope that a therapeutic molecule may be possible against early oligomeric molecules,” says Dr. Krishnananda Chattopadhyay, leader of the research team.
“The study establishes that glutamate acts as a facilitator and arginine acts as an inhibitor of the late stage of alpha synuclein aggregation. However, it is not clear if the observed effect is because of other cellular changes due to the addition of these molecules or direct interaction of these molecules with alpha-synuclein. The mechanism of internalisation and interaction of these molecules with alpha-synuclein needs to be better understood. It will also be challenging to understand how one can transform this knowledge for drug development for a complex disease such as Parkinson’s,” says Dr. Samir K. Maji of IIT Bombay, who was not connected with the study.
Other researchers in the study included Sumanta Ghosh and Amrita Kundu of the CSIR-ICB. The research results have been published in the journal, Scientific Reports, and the work was funded by the Department of Science and Technology, Government of India. 
— India Science Wire
"
Food & Health,"
June 03, 2018 00:02 IST
","
In need of a lifeline: India's battle against TB
","The global battle against tuberculosis (TB) will be won or lost in India because most TB patients live there. Last month, we — at the Delhi Network of Positive People (DNP+) — lost a member of our staff, a fierce HIV activist, to TB.
After decades of activism that made HIV treatment accessible, Anita (name changed) died painfully and gradually, on April 30; there was no help forthcoming from the authorities. Her struggle exemplifies the monumental challenges faced by India’s TB community in accessing treatment. India’s TB community loses around 80 patients every day to drug resistant (DR) tuberculosis, a deadlier form of the disease, where the bacteria is resistant to anti-TB drugs.
India released data from the largest national DR-TB survey ever conducted by any country. The survey found that more than 6% of all TB patients in India have multidrug-resistant TB (MDR-TB). Based on data in the Global Tuberculosis Report 2017, an estimated 147,000 people have MDR-TB in India, accounting for a fourth of the global burden. Out of them, 30,000 patients need immediate access to better drugs and diagnostic facilities.
Anita, a familiar face among HIV activists in Delhi, was diagnosed with DR-TB in September 2016. It took 15 visits, spread over four months, to the All India Institute of Medical Sciences to get the results of the crucial drug-sensitive test that would help determine the most rational regimen to be followed after establishing what drugs she was resistant to. During this period, she was on presumptive treatment which caused her condition to deteriorate. The toxic cocktail of drugs prescribed to her caused persistent nausea, psychosis and depression — known side-effects of the deadly disease. By April this year, this 49-year-old firebrand activist was reduced to 28 kg; rapid weight loss is a hallmark of TB, giving the disease its historic name ‘consumption’ because it eats away at the person.
In HIV, patients who are put on anti-reterovirals start getting better almost immediately. In DR-TB, much like cancer, the drugs are toxic and a significant portion of the treatment is about managing side-effects. In Anita’s case, the drugs caused extreme nausea, which does not allow patients to develop an appetite, cause rapid weight loss and inevitable death. The disease gradually consumed her will to live.
We have been left devastated.
Anita contracted TB because she worked among TB and HIV patients. In 2005, the government rolled out free generic antiretroviral therapy, or ART, for HIV patients, turning a death sentence into a manageable disease. However, a new problem arose that has not been addressed in decades.
ART centres, where people living with HIV are treated, do not strictly implement infection control measures for TB prevention. TB, being the top opportunistic infection among HIV patients, is not incidental to health-care workers like Anita who are constantly exposed to patients with DR-TB. Yet, people who work with DR-TB patients are not offered Isoniazid preventive therapy and N95 (respirator) masks, that reduce the risk. After years of such work, she was diagnosed with pulmonary DR-TB.
According to recent government data and estimates, there are nearly 1.5 lakh patients with DR-TB in India of whom about 20% succumb to the disease. In the past few years, the government has recognised DR-TB as a public health threat and shown the political will to address the epidemic. Yet, as Anita’s story illustrates, there is still a long way to go.
Globally, a number of efforts are now under way to provide regimens containing new classes of TB drugs such as bedaquiline, pretomanid, and delamanid which offer hope to DR-TB patients. Despite some positive developments such as new drugs, screening tools and medicines, we are losing loved ones every day. India’s TB community is grieving. As affected communities, we want to encourage our government to offer health-care workers like Anita, the most effective regimens at the start of their treatment so that they have a greater chance of a cure in the future.
Loon Gangte is an HIV treatment activist with the International Treatment Preparedness Coalition (ITPC)
"
Food & Health,"
June 04, 2018 22:39 IST
","
Teenager with palsy walks at graduation
","An Ohio teenager, who has cerebral palsy and was never expected to be able to walk, shocked her family and friends by doing just that at her high school graduation. 
Lexi Wright, 19, left her wheelchair and used a walker to cross a stage in her cap and gown to accept her diploma at the Ravenna High School ceremony last week, according to Record-Courier, a newspaper based in Kent. 
Principal Beth Coleman said Ms. Wright had been practicing all year. 
The teen said she simply wanted to surprise her family and was stunned by the crowd’s reaction. She said she plans to keep working on walking.
"
Food & Health,"
June 04, 2018 22:32 IST
","
Immunotherapy cures late-stage breast cancer
","A woman with an aggressive form of breast cancer which defied chemotherapy and spread to other organs, was cured with an experimental treatment that triggered her immune system, researchers said on Monday.
The woman has been cancer-free for two years, reported the U.S.-based team, presenting their results as “a new immunotherapy approach” for the treatment of patients with a late-stage form of the disease.
 Other experts not involved in the work hailed it as “exciting”. 
So-called “immunotherapy” has already been shown to work in some people with cancer of the lung, cervix, blood cells (leukaemia), skin (melanoma) and bladder. But an immune breakthrough for bowel, breast and ovary cancer has remained elusive.
 The woman was 49 when she signed up for the clinical trial after several attempts at a cure through conventional treatments had failed, said the study published in Nature Medicine. 
The cancer had spread to various parts of her body, including the liver. A person’s immune system is designed to kill invaders, including rogue, cancerous cells. But it can fail, often because it cannot recognise cancer cells containing the patient’s own DNA.
Immunotherapy trains a patient’s own immune cells to recognise and fight cancer. For the new study, researchers took lymphocytes from a tumour in the woman’s body and scanned them for specific types which reacted to mutant, cancerous cells.
Tweaked in lab
These were reactivated or “switched on” in the lab and injected back, along with a so-called “immune checkpoint inhibitor” — another type of immunotherapy that has shown success in other types of cancer.
This resulted in a “highly personalised” anti-cancer therapy that yielded “complete tumour regression,” the researchers wrote.
In a comment also published by Nature Medicine, expert Laszlo Radvanyi from Canada’s Ontario Institute for Cancer Research said the woman’s response to the treatment was “unprecedented” for such advanced breast cancer. This work showed “we are now at the cusp of a major revolution,” he wrote.
"
Food & Health,"
June 04, 2018 16:04 IST
","
‘I was 19 when I first travelled by myself’
","It was a year after the psychiatrist had decided that I had bipolar disorder. When I asked him about it, he merely wrote out a prescription and rang the bell for the next patient.
After a year of self-imposed house arrest and a dozen half-hearted attempts at ending my life, I was fed up. I couldn’t bear to see my family suffer as well. With the little money I had earned from tuition classes, I booked tickets, left a farewell note and boarded the train to Kolkata with the hope of joining the Missionaries of Charity.
However, no matter how much I pleaded, the sisters gently said that I was just running away. And that I hadn’t received my calling from God. That I should be going back home. But for a week, they provided me shelter, food and lots of love. After much contemplation by the mother’s tomb, I realised it wasn’t really a calling. It was an escape.
Which is what travel is. An escape from the mundaneness of a life filled with weeks of hour-long commutes to the office, mind-numbing meetings, meaningless small talk, and mindless weekend visits to the cinema. An escape that clears up the clutter in your head, gives you time to think, to see, and to bring back belief into a life that’s running out of hope.
Most of my bipolar episodes have been triggered by people telling me how to live my life, what to do, what not to. And very often, ‘That’s impossible. You won’t be able to do it.’ Oh, but how do you explain to them that you won’t know if you haven’t tried?So, when you do travel by yourself, when you share a hotel room with a match-fixer and couch-surf into houses of strangers, when you meet Naxals in the dilapidated estates of Odisha and travel by public transport through Bastar and Dantewada, when you board the unreserved compartment in UP and Bihar, when you trek solo in a new country, when you find yourself at a remote waterfalls with just two other men — both contract killers discussing a recent kill — you know. You know that if you trust the world, it protects you.
Like every other girl, I was taught to fear the world. Clothes weren’t meant to protect me from the weather but from men. Every man was a crook until proven otherwise. Every maid and helper was a thief in disguise. If you did something different, if you called a male friend home or invited the delivery person in and offered him juice — oh what sin. I didn’t understand why people were this way. Why this fear and distrust?
In her book You Can Heal Your Life, Louise Hay writes about the four causes for every illness — guilt, anger, fear and resentment. I have been saying her positive affirmations and realised that love conquers all . I have realised that bipolar disorder is just a term coined to run clinics and sell drugs. To tell us that we suffer from craziness. That if we choose to sing and dance for nothing at all — it is a disorder and the drugs will fix it. At NIMHANS though, a psychiatrist said something that gave me hope. She said that I have been blessed with bipolar. She even said that if I tried really hard, I could someday get off the meds completely.
When I was asked to write this article — it got me thinking about the label that I have been stuck with for the last 10 years. I never hid it because I wanted to break the taboo.
Now, it’s time to get rid of the label. If there’s one thing I have realised, it’s that there is bipolarity in all of us — in varying degrees. So it’s okay if you feel confused and lost. You are not alone.When the blues come knocking, travel. Pack your bags and board the bus to anywhere. Rough it out. Live on ₹500 a day. Share a room with a stranger. Trust the universe. It will keep you safe. Even if harm comes your way, look for the silver lining. There always is one, often much thicker than we make it out to be.
And, if you really want to travel, leave your smartphones behind. Remember, you are smarter than your phone.
shilpakrishnan42@gmail.com 
"
Food & Health,"
June 05, 2018 18:45 IST
","
Who put ‘malai’ in my tea?
"," The first sip of the tea tastes like basundi. Unbelievable? We think so too and take our second sip. This time, we pay more attention — no, that’s plain old cream with sugar crystals sprinkled on top. But who would’ve thought that a glass of tea would be topped with this? It takes around four sips for us to reach the actual tea at Devi Thaeneer Vidudhi near Begum Street in Triplicane. Around 20% of the glass is filled with their famous malai. At Devi, you order tea, and you get the malai variety. If you want the regular, unadventurous stuff, you have to inform tea ‘master’ M Anand.
The 28-year-old keeps the stove with the milk vessel on through the day. As a result, the milk is thick; Anand dutifully lets the cream that forms sit undisturbed. “So more malai keeps getting formed,” he tells us, ‘cutting’ tea in one swift motion for an auto driver, his regular customer.




Anand has been making tea at the shop for eight years. “Malai tea is my owner’s idea,” he says, adding that he knows only a handful of teashops in the city making this kind. “They are Golden Tea Stall and MAP on Ellis Road,” he explains, “And our other branch at Zam Bazaar.”
Priced at ₹ 8, a glass of tea at Devi is made under a minute. It’s an experience seeing Anand make it: he grabs one of the just washed tea glasses from the counter and rinses the insides with steaming hot water from a kettle. The glass tinkles as he spoons in sugar, followed by thick milk. The decoction comes next, which Anand lets spill into the glass like a tiny waterfall. One gigantic ‘cutting’ later, the tea is served with a topping of gleaming malai and sugar.




The amiable tea ‘master’ could be leaving for his hometown to get married in a year or two. “My family is looking for a suitable bride for me,” he says, smiling into the kettle. “Oru tea, without malai,” a customer walks in and tells him, and Anand grabs his next glass.
Anand makes around 300 cups of tea every day. How many does he have? “Three,” he says, when the auto driver, who’s been listening to our conversation, cuts in: “Five, admit it,” he laughs. Anand grins, saying, “Believe me, I don’t have more than three cups a day.” He doesn’t have the malai tea though. “Too much of malai can cause colds,” he explains.
"
Food & Health,"
June 06, 2018 18:08 IST
","
Defying laws of gravity, 'dondurma' makes its way into Chennai
","When I reach for my ice-cream, it wiggles away like a worm. It sits on the end of a tall ladle held by our server, 25-year old Akash Kashyap, who teasingly flips the cone over and over with a nimble hand. The ice-cream, however, taunts gravity. All we wanted was some Turkish ice-cream. But when the server is Kashyap, you also get dinner and a show.
Turkish ice-cream or dondurma has made its way to Chennai — the second city to serve it after Delhi-NCR — at the newly-opened restaurant BnB Live Grill at OMR Food Street in Navallur and with it, have come the two men partly responsible for bringing it to India: Kashyap and Sonu Kumar.
An ice-cream that doesn’t easily drip or melt; that’s milky thick and chewy instead of soft. The nature of Turkish ice-cream is such that it lends itself to various tricks; ones that the ice-cream vendors of Turkey have perfected over the years. It is this art of ‘trolling’ customers that mesmerised Kashyap and Kumar when they first made their journey to the city of Ankara in Turkey four years ago. “It felt like magic... The vendors had such great sleight of hand, just getting ice-cream was one form of entertainment,” recalls Kashyap. What was supposed to be a short trip turned into a two-year stay, where the duo learned the tricks of ice-cream making and selling from Shahin Uftur. They then convinced him to open shop in Delhi.
The stretchy texture of the ice-cream comes from salep, explains Kashyap. “It is a paste made from orchid flowers,” he says. Both salep and mastic, the aromatic resin that gives it a distinctive flavour are imported from Turkey. The end product is so firm, you could take scoop out an entire bowlful on a ladle — a trick often used to surprise new customers — without any of it falling down; you often need a knife to slice through it.




Kashyap is in his element while serving; dressed in traditional red jacket and a fez. He slyly hands the customer a double cone, and ladles ice-cream on it. Once filled, he slips it out of her hand, leaving her holding just the empty outer cone. He then ups the performance, balancing the ice-cream on four different cones — so quick, the customer doesn’t know where to look. At times, he even puts a cone inside a customer’s pocket.
Sound is another integral part of the ice-cream serving: Kashyap rolls the ladle as if churning butter, hitting against the container to produce quick percussive beats. Hanging on top of the ice-cream containers is a bunch of bells tied together that Kashyap rings as he twirls the ice-cream ladle around. Every so often, he flips the ice-cream over and shrieks, pranking customers into thinking he has dropped it.




Doesn’t the audience ever get tired of his tricks? “We actually do have customers who straight out say ‘No’, when we start performing,” says Kashyap. “So you have to gauge each customer’s temperament before you start pranking them. Sometimes, there are children, even adults, who get scared or put off by our shrieking.” However, the vast majority seems to enjoy it, and that’s what drives the duo. “It is about playing with the customer, there’s a certain masti involved,” says a twinkle-eyed Kashyap. Kumar agrees, “We don’t just serve ice-cream, we serve laughter.”
 

"
