Category,Date_and_Time,Keywords,Article
Others,"
May 03, 2014 18:06 IST
","
Border Crossings
","Commander Mahmud had previously fought against the Soviets, the Taliban and a few others he called traitors. His stories changed a little every time he narrated them to me. He was a creature of a ruptured society, which required certain murkiness of character and malleability of beliefs to negotiate alliances and friendships with an unlikely spectrum of characters. In his new role he would recruit, train and command the Afghan Local Police. Created at the behest of and funded by the Americans, the ALP was a policy designed to “secure local communities and prevent rural areas from infiltration of insurgent groups.”
It was the very young, the poor, the orphaned, the uneducated and the disenfranchised who were regularly conscripted and forced to fight under threat of violence. One of the cadets, who looked no older than 15, said he regularly crossed into Pakistan to see his family and moved there every winter in search of employment. “My maternal cousin joined the Taliban”, he said. “They pay well for doing nothing. He had the gun first.” Pointing to his gun he said, “These guns are not bad, either”.
Young boys were being prepared for slaughter; the accidental recruit was meant to fight the accidental guerrilla across the border. The US sergeant in Sar Howza, brushed it off saying “It is an Afghan solution to an Afghan problem”. I repeated this to Commander Mahmud and he responded with silence.
The day I left Sar Howza, the commander prepared a grand meal of goat and rice, and sent me away with words that betrayed his appearance. “Memory is a funny thing. It differs from the history you came here with.”
On the road back to Kabul and for the next two years I thought about the palpability of an arbitrary border and what it did to people. A border might create two distinct nationalities out of the same stock, but can it create a break with people and their past? The territory that divides the citizen and the alien is messy. Yet these lines are imperative for the politics of statehood and statelessness, who belongs and who is excluded. It separates us from them; it creates hierarchy and order; it consolidates and defines.
***
With the Partition, something unique, unprecedented and disorienting happened in the subcontinent. The clarifying violence at the moment of creation made the borders palpable, political and personal. Contested borders, territorial disputes, population transfers, communal strife, sectarian violence, self-determination movements have happened within the territory of the state. All these events remain traditionally described within the clinical framework of historical cause and consequence that discounts the haemorrhage; that bleed into each other. I instead stand with Thomas Carlyle when he says, “History is the essence of innumerable biographies.” These biographies are the finer details that don’t fall into delineated categories of cause and consequence.
Sitting in his backyard, Gazi, an Indian, said, “The Partition did not just happen; the war did not just happen. It is unfinished and ongoing.” His backyard was also home to one of India’s border pillars with Bangladesh. The backyard opens into a river, through a narrow passage that acts as the riverine border between the two countries. As we walk by the river, I see people from both sides crossing regularly. “Yes, it happens” he says. “How do you cut a river into two”? Like thousands who live along this densely populated border, he has family just a few metres away in another country. Gazi’s grandmother was born when there was no border, just British India. A few years into her life, she became a citizen of Pakistan. One of her sons was in India. East Pakistan then became Bangladesh; then came the border pillars and more treaties. Gazi was born into a farming village with porous land and riverine border. Throughout his adolescence he witnessed ubiquitous BSF camps mushroom along the farmlands, barbed wire fences being erected, floodlights being installed, and a visible militarisation of the border. Fencing and floodlights, accompanied by aggressive and violent state intervention, are now rapidly transforming a once porous border. Fencing petitions a powerful logic through narratives around illegal migration, national security, counterinsurgency and illegal trade that is difficult to contest. Yet, this logic is regularly betrayed by the dailiness of it all. People like Gazi continue to transgress and subvert the border. It has not stopped migration, illicit trade, or secured the border. Instead, it has increased social and personal cost of the crossings.
Felani Khatun and her family, like millions before her, crossed over into India illegally a few years ago. Felani’s father Nurul Islam was taking her back to Bangladesh to have her married. They were crossing the border illegally at night by climbing over the barbed wire fence in Anantapur, Fulbari. It was widely reported that Felani’s clothes got caught in the barbed wire and she screamed in panic. BSF constable Ghosh fired at her, wounding her fatally. What followed were multiple repetitions and versions, with the most gruesome being that Felani struggled to stay alive for four hours, begging for water before dying.
A year later, I travelled through the region and asked various BSF guards and officers along the Bengal frontier about the killing of Felani. Most of them had never heard of this incident; almost all BSF personnel responded in abstractions or replied with questions. The afterthought was unhappiness about India’s new policy of restraints and how it was impossible to protect the borders without coercive force. “These women cross illegally and cry rape; they smuggle goods inside their purdah…Some are Indians only in name; all of them have relatives in Bangladesh. Family means more than the lines,” said another young officer in Amudiya, who went on to show a video in his phone, where his team had apprehended two women smuggling in Nike shoes. The more time I spent with the BSF guards, the more they reminded me of the young recruits I met in the remote borders of Afghanistan.
By the time I returned, Felani’s trial had had its day in the General Security Courts set up by the BSF. Constable Ghosh was charged and acquitted of culpable homicide. Evidence against him was deemed “inconclusive and insufficient”. Constable Ghosh and thousands like him are responsible for the preservation of the State’s rights in these exceptional places, where they are vested with the power to make unilateral decisions over life and death, without being accountable to the law. They are not evil, wicked, sadistic or vile; yet they are terrifying in that, with all this power, they are trained to act, not think. The BSF border guards are ingrained through training and constant reinforcement that the borderlands are “a different space, a contentious space” where order must be established through force. Here exceptional acts of coercion and violence are the new normal. The most clinical and pathological argument in defence of killing was: “Since Felani and many others like her were illegally transgressing into Indian territory — often at night, paying touts and traffickers — they were ‘not innocent’, but ‘legitimate targets’.” Felani’s death and other deaths over the border is a face to a much larger politics of State of Exception that transforms identity, migration and militarisation of territory into issues of national security.
“There is no end to the ideology of difference,” said Pakistani political scientist and writer Eqbal Ahmed. Yet along the borders people are regularly turned into religious and cultural categories. Bengali becomes differentiated into Hindu Bengali and Muslim Bengali. Within Muslims, the categories are locals and Bangladeshi. While turning people into categories is accomplished easily on paper and policy, in practice how do you differentiate local Muslims and the Muslims from Bangladesh who speak the same language, follow the same customs, and are part of the same cultural composite? When I asked a BSF guard in Taki, he acknowledged that it was hard. “They all look the same, speak the same.” Then “that it is why we need to keep a closer watch”. Here suspicion and surveillance go hand in hand.
A BSF document produced earlier this year describes the border population’s characteristics. Key attributes include, “Predominantly Muslim”, “Illiteracy, backwardness and poverty”, “Inclination of youth towards easy money”, “Hostile towards the forces”. An officer at Petrapole remarked, “They don’t drink, so they use cough syrup.” It is tacitly implied that people’s behaviour can be predicted based on their religion, and socially deviant behaviour is a residue of one’s religious and cultural beliefs. Stereotypical depiction of an entire group of people as shiftless and inclined to criminal behaviour sustains the idea that the populations they secure is fundamentally different and demand such treatment. Complex and nuanced accounts regularly become esoteric reductions and representation of whole groups of people, their history, memory and boundaries. Obligation towards ‘individual truth’ is regularly and systematically undermined in these edges. Truth is neither altered nor silenced, instead setting limits to it, has become the greatest weapon against resistance.
Nietzsche once noted that only that which has no history can be defined. And yet the discourse of nationalism is aimed at creating foundational myths about a Nation’s beginning, defining the people, its conflicts and its aggressors. While defining the “problematic other”, the state always casts them as actors in the discourse of conflict, stripped of history and agency. “A nation is bound not only by the real past, but the stories it tells itself, by what it remembers, and what it forgets,” said Colin Thubron. We are at a time when we have not earned the right to forget the past, yet around us is a vigorous effort to prematurely rewrite a singular history that is fraught with multiple, competing narratives of memory.

Borderlands Project is Suchitra Vijayan’s 9,000-mile journey through India's borders to understand the human dimension of political borders. The project is conceived as a travelogue chronicling stories along India’s border with Pakistan, China, Nepal, Bhutan, Bangladesh, and Burma. Partly visual anthropology and partly an attempt at understanding the Indian state, and the fringes it governs.
"
Others,"
May 04, 2014 02:44 IST
","
CB-CID teams rush to Guwahati, Patna
","As part of the probe into the twin blasts on the Bangalore-Guwahati Express here on May 1, special teams of the Crime Branch-CID have reached Guwahati and Patna, agency sources said on Saturday.
Armed with the CCTV footage of two persons who were found moving in a suspicious manner in the Bangalore and Chennai Central railway stations, investigators would make inquiries with some passengers who travelled in S-4 and S-5 coaches up to Guwahati.
After preliminary inquiries, the State police and National Security Guard (NSG) officials revealed that the explosives were similar to those used in the Patna blasts, another team reached Patna.
“We want to examine the suspects arrested in the multiple blasts in Patna, which occurred hours before BJP leader Narendra Modi was to address an election rally there,” a CB-CID official said.
Meanwhile, forensic experts who analysed the debris from the scene of blast indicated that Ammonium Nitrate was the main ingredient. Investigators were seeking the help of Information Technology experts to extract a better visual from the CCTV footage.
The footage in Bangalore showed a man taking the escalator and walking towards Platform No. 3, from where the train departed, sources said.
“Since he was carrying a bag, it is possible that there was another person who either boarded the train in Bangalore or the following stations. We are seeking the assistance of IT experts to improve the quality of images found in the CCTV footage,” a CB-CID official said.
"
Others,"
May 02, 2014 19:47 IST
","
Love in the time of apps
","Long distance relationships. LDR. Whatever you call them, they still tend to suck most of the fun out of life. Here are a few apps that might help keep the spark in your relationship alive, unless of course, you are a firm believer of the adage, “Out of sight, out of mind.”

Couple

This app is a private way to utilise social media just for the two of you. You can have you own timeline using it to share photos, videos, voice notes, sketches and stickers. It also has a calendar — for those dates you just have to remember — and a feature that lets you both sketch simultaneously on the same screen in real time. Two of its best features, though, are: ThumbKiss, that lets you touch the same spot on your phones to make them both vibrate simultaneously and Thinking of You, that lets you tell your significant other how much you miss them and how often.

Handwritten

This app is the perfect way to blend today’s technology with that of writing long love letters. Handwritten, specifically for iPad users, allows you to personalise your mail by letting you compose the letter in your own handwriting. Use of a stylus is recommended.

Red Stamp

So you screwed up. And now he/she is sulking. This app might not earn you forgiveness, but it’ll help to partly make up for your boo-boo. Personalise a card and post it on Facebook, email, tweet, or text it to that special someone. Red Stamp can also print a high-end, eco-friendly paper postcard or luxe paper card and mail it in a coloured envelope to the recipient. Useful for birthdays, anniversaries or just to surprise your significant other. Major brownie points to be earned, y’all.

Voxer

Voxer, as someone very rightly put it, is a messaging app on steroids. Not only does it offer you everything a typical texting platform does, it also lets you use it like a walkie-talkie. You can send voice messages as well — they are all saved so you can play them back later. So it’s like a personal line just for the two of you. Beats a couple of cups and a really, really long thread.

Relationship Lovers Counter

‘So when’s your anniversary?’
‘June. No, wait, July. Or was it January?’
If you empathise with the above predicament, this app is here to save you a major fight or two. It keeps a track of how many days are left for your anniversary, even informing you if it’s a one-month or a silver jubilee. It comes with a love meter that rates your relationship on a scale of one to 10 (Hmmm, not sure if that is a good thing, though). And if you’re the kind of couple that likes making others uncomfortable, this app has a Twitter and Facebook connector to help you share the love on social media. Aww. Cho chweet.

Zara Khan is a staff writer for Metro Plus Melange

"
Others,"
May 03, 2014 09:54 IST
","
RTI activist dies as car catches fire
","An RTI activist, who was trying to evict alleged land grabbers from a temple in Kasna village here, was found charred to death in his car on Thursday night. His family has alleged foul play.
According to the police, Chandra Mohan Sharma, who worked for a global automobile giant, was on his way home in Alpha Sector here around 11-20 p.m. when his car went up in flames.
Gautam Budh Nagar SSP Preetinder Singh said: “The people at the spot tried to break the car’s windows with stones, but they were unable to rescue Chandra Mohan.”
By the time the police reached there, the victim had succumbed to his burns. The body was then taken to a hospital for post-mortem.
The police said Chandra Mohan had been experiencing problems with his Chevrolet car. “Four days ago, he had removed the CNG kit from the car. Even on the day of the incident, he had trouble starting the car,” said Mr. Singh. The car will be sent for technical inspection.
While the police are investigating all angles, the victim’s family has alleged foul play.
“He was murdered because for the past eight to ten years he had been working to remove encroachers from a temple. He had been threatened and attacked many times, the last being on April 28. He was driving near Pari Chowk when his car was stopped and he was beaten and verbally abused,” said Videsh Kumar, brother-in-law of Chandra Mohan.
Mr. Kumar, who also lives in Kasna, said villagers were trying to evict some individuals who had encroached on temple land. “Chandra Mohan had filed an application to get details about this issue,” he added.
Chandra Mohan, who was in his mid-30s, is survived by his wife, daughter and son .
"
Others,"
May 04, 2014 10:16 IST
","
Prolonged drought condition hits mango productivity
","Mango productivity has been hit in the district due to prolonged drought conditions, according to growers.
In only a matter of few years, the productivity had come down to 30 per cent of the original yield due to water shortage, said V. Vaideeswaram, president, Erode District Mango Growers' Association. Alphonso, Bangalora and Imam Pasand varieties are mostly grown in Erode district.
Mangoes have started arriving in large quantities from Salem and other parts of the State to the markets in Erode. Though the mango season has begun, it will take a month more for fruit-cutting to begin in the district.
Due to the low productivity, there is no compulsion for the growers in the district to ripen mangoes in bulk by artificial means, Mr.
Vaideeswaram said. The stocks kept in the market come under periodic scrutiny of the Food Safety department. Mangoes ripened with calcium carbide stones are confiscated.
Farmers say artificial ripening of fruits is not unusual the world over. For, ripe fruits cannot be transported. The raw fruits, after harvest, are first transported and then ripened at places close to consumption. But, ripening of the fruit with calcium carbide, a chemical material made of limestone, is illegal in India due to health risks, reflecting in vomiting, diarrhea, and burning sensation. The Food Safety Department, sources said, confiscates mango stocks if it is found that only the outer skin of the fruit has ripened while the flesh remains firm and more fibrous. Such fruits, the sources said, are more acidic and have shorter shelf life. ""In Erode district, growers use doses of ethylene to induce ripening. This method of ripening is legal,"" Mr. Vaideeswaram said.
"
Others,"
May 02, 2014 12:37 IST
","
Security beefed up across railway stations in Delhi
","About 500 security personnel fanned across railway stations in the Capital, the bomb disposal squad began extensive checking and sniffer dogs were deployed to look for explosives as a high alert was sounded across Delhi stations following the bomb blast at the Chennai Central railway station on Thursday.
“The dog squad has been deployed since morning, while the bomb disposal squad is on standby. Checking and frisking of passengers and their baggage has been increased. While usually there are adequate number of policemen at the station premises, around 500 personnel are on patrolling duty at the stations on Thursday,” said Deputy Commissioner of Police (Crime and Railways) Sanjeev Bhatia.
Officials claim the situation is under control even on normal days.
“General Railway Police personnel are onboard all long distance trains. Different teams keep changing their personnel as per the jurisdiction. The presence of cops on board helps check petty crimes as well,” said Northern Railway spokesperson Neeraj Sharma.
Though officials claim presence of manpower and round-the-clock surveillance, some recent incidents — cases of dacoity onboard trains — in areas closer to the Capital have of late exposed the chinks in the security apparatus.
For their part, the authorities term such cases as aberrations. Railway officials here said that the GRP had recently launched an extensive drive against robbers and busted a gang with the arrest of three active members from neighbouring Ghaziabad.
"
Others,"
May 02, 2014 13:41 IST
","
2030 India will see massive housing crunch
","What should set alarm bells ringing for urban developers and policymakers is the data released by the Centre for Science and Environment (CSE) that says more than 70 per cent of the buildings that should stand in India by 2030 are yet to be built.
According to CSE executive director (Research and Advocacy) Anumita Roychowdhury, while in the United Kingdom 80 per cent of the building stock that will stand there in 2050 has already been built, India is lagging behind with a mind boggling number of 70 per cent of the buildings, that includes homes, offices and commercial establishments, not being constructed.
“What is worrisome is that Indian cities use more of precious water and energy and generate massive amounts of waste. The construction boon can be a bane as unfettered growth can have a damaging impact. In India, buildings are responsible for 40 per cent of the energy use, 30 per cent of the raw material use, 20 per cent of water use and 20 per cent of land use. At the same time, they generate 40 per cent of carbon emissions, 30 per cent of solid waste generation and 20 per cent of water effluents. With almost 70 per cent of the building stock in India yet to come up, the country is looking ahead to a critical situation.”
As a major destination point for real estate, the National Capital Region will be particularly affected. Therefore, the CSE has stressed the need to see the scalability of the buildings that have to be constructed.
“At homes, we have to use our air conditioners judiciously. With more and more homes using air conditioners, the challenge is not to become energy guzzlers. High performance buildings will require good insulation. Poorly insulated buildings severely effect the efficiency of air conditioning units and are high energy losses,” said Ms. Roychowdhury, while conducting a two-day workshop on “Urbanscapes: How sustainable are our buildings and cities”. The CSE has stressed the need for conducting workshops for the benefit of architects, engineers and prospective owners of flats so that they can understand the energy-saving strategies for constructing homes.
Pointing out that traditional wisdom needs to be kept in mind while constructing buildings, Ms. Roychowdhury said only one per cent of Delhi’s population lives in Lutyens’ Delhi and the urban boom in terms of housing and commercialisation has taken place on the periphery of the city. “Therefore, people living in East Delhi have to travel long distances. We have congested places like the Chawri Bazar and scantily populated areas like Aurangzeb Road.”
Citing another example, she said cities like Chennai, which have hot humid climate, do not require air tight glass buildings. “However, quite a few tight glass buildings in Chennai are being constructed. It is important to understand that we do not require 100 per cent air conditioned buildings. A fine example is the traditional Chettinad homes which have sufficient cross-ventilation. A big verandah is a common feature in every traditional home there,” she added.
"
Others,"
May 06, 2014 01:40 IST
","
Murder victim identified, cabbie suspected
","A young woman, whose body was found, chopped to pieces, on the banks of Porur Lake on Saturday evening, has been identified. Police suspect the involvement of a city cab driver, who is on the run.
Rekha Sriram, a Nesapakkam resident, was a business process outsourcing (BPO) centre employee and a consultant dietician at a fitness centre. Policemen at SRMC station, who are investigating the murder, said she had married Sriram, a software professional working in Ambattur, in February this year.
On Saturday, residents in the vicinity of the lake saw a gunny bag on the banks of the waterbody around 7 p.m. and alerted the police.
Policemen opened the sack to find the decomposed torso and head of a young woman. The victims’ hands and legs were recovered from nearby. Investigations revealed that Sriram had lodged a complaint with MGR Nagar police station on May 1 about Rekha not having returned home.
“On Sunday, Sriram identified the body as that of his missing wife at the Government Royapettah Hospital mortuary,” said an investigating officer.
The investigating team has found that Rekha had approached the Madhavaram police with a compliant of repeated harassment by Sitaraman alias Samson (25), a cab driver and resident of Sitapathi Street in Madhavaram. “Samson used to drive Rekha to work and home when she worked at a call centre in Vadapalani and was upset when he learnt of her marriage,” the officer added.
It is suspected that he along with a few accomplices may have murdered her and flung the body into the lake from Chennai Bypass. Police are searching for Samson and have found his car that is suspected to have been used to transport the victim’s body.
"
Others,"
May 03, 2014 00:44 IST
","
Zoo animals escape mercury’s fury
","As summer begins to peak and the mercury keeps its upwardly climb, the Nehru Zoological Park has made arrangements to help the animals, birds and reptiles here escape the hot weather conditions.
From air-coolers to rain guns and sprinklers, the authorities have covered the different zones of the zoo with the required paraphernalia, said curator B.N.N. Murthy.
“Most animal and bird enclosures have been enriched with different plant species that help reduce the temperature,” he said.
More than 100 sprinklers have been installed along the peripheries of the enclosures, and the bigger enclosures have been provided with rain guns that could throw water at a distance of about 30 metres.
There are eight rain guns for the enclosures of the chimpanzee, lions and others, while they would be installed for elephants and rhinoceros in the next couple of days.
Foggers that create a mist and keep the enclosures cool were already in place in the aviary, and also in the enclosures of some smaller cats. The others were draped with thunga dry grass and also khas-khas matting and watered regularly, Mr. Murthy said.
All the night houses to which the animals retire in the evening have been fitted with air-coolers, and these include those of the leopard, white tiger, lions, jackal and sloth bears.
“We ensured that the temperature in these night houses is at least 5 degree Celsius less than that outside,” he said.
In another move, the electricity department was approached with a request to ensure that the power cuts do not happen here during the day time.
“The APCPDCL has agreed to go for its load relief and have power cuts only during the early mornings and late evenings to help our efforts of keeping animals and birds comfortable during the hot day conditions,” Mr. Murthy added.
"
Others,"
May 02, 2014 23:59 IST
","
‘Trans Queens’ ooze confidence
","Turning up in beautiful chiffon and georgette saris and ‘lehengas’, along with spaghetti-strapped designer blouses, the contestants exuded poise and confidence at the national-level ‘Miss. Trans Queen’ beauty pageant.
The much-awaited beauty contest for the third genders, which stopped due to sudden thundershowers on Thursday, resumed its charm with heart-pounding music, dance, and energy-packed audience at Gurajada Kalakshetram here on Friday. Of the 125 contestants who made their way to the venue from different places like Delhi, Pune, Kolkata, Kochi, Hyderabad, and Visakhapatnam, among other cities, 22 were short-listed for the final round.
With the tagline ‘Hum kisi se kum nahin’ attached to the beauty show, hosted jointly by Naandi Service Society and Moon Power, the participants walked down the ramp with ease, teaming their attires with attractive stilettos. Apart from creating a platform for the others, the pageant kept its focus on raising awareness on the acceptance of the third gender community.
“We are not bothered about winning or losing the beauty pageant, but a platform such as this is really heart-warming. What our hometown (Delhi) has not done so far, the City of Destiny has done for us. Whoever we are, all we need is your love and acceptance,” one of the contestants from Delhi said. While some of the participants surprised the viewers by introducing themselves in Telugu, a few shared their wonderful experience of being part of the national-level beauty pageant. It was the first time the beauty contest for the community was being organised in Andhra Pradesh. “We have been planning for the event for the last five years. The objective is to provide a platform for the others to exhibit their talent and allow them to express themselves,” director of Moon Power Srinivas said.
The top winner walked away with gold crown worth Rs.1 lakh and the second and third winners grabbed silver crowns. The other titles of the pageant included ‘beautiful eyes’, ‘best skin’, ‘best walk’, ‘beautiful smile’, and ‘beautiful personality’.
"
