Category,Date_and_Time,Keywords,Article
Politics & Governance,"
May 02, 2014 20:41 IST
","
Government seeks EC nod on appointment of new Army chief
","Amid questions raised by the BJP on the competence of the UPA government to choose the next Army Chief in the middle of election process, the Defence Minister A.K. Antony has said that the matter has been referred to the Election Commission for its advice.
For some days now the principal opposition party has been questioning the propriety of the government to make new appointments including that of the new Army Chief on the plea that it would be against the letter and spirit of the Election Commission’s Model Code of Conduct (MCC) in operation since the announcement of the General Election scheduled on March 5.
However in a communication to the Defence Secretary on March 27 the Commission had said that the Code is not applicable to any matter pertaining directly to the defence forces, be it the recruitments/promotions for defence forces, all service matters pertaining to them, defence purchases of all kinds, tenders relating to the matter of the defence forces and consequently no reference need be sent to the Commission pertaining to model code in these matters.
“These instructions shall be treated as standing instructions of the Commission and will be applicable for all elections in future. This may be brought to the notice of all concerned for future guidance”.
Despite the EC communication, on April 19 the BJP Legal Affairs Cell wrote a letter to the Election Commission asking the poll body to direct the government to refrain from making `major appointments’ including those related to armed forces.
“This is to seek your intervention in the tendency that seems to be on the increase in the government to make major appointments during the election process itself. You are aware of the undue haste with which the naval Chief was appointed. We learn that something similar is cooking in respect of the Army Chief where the present incumbent is due to superannuate in July 2014. We also hear that there is some hurried activity in hastening the selection process of the Lok Pal. It may be recalled the process of selection got aborted by the exit of the eminent jurists and as such the whole selection process currently stands vitiated”, the BJP letter had said.
The Defence Minister suggested that the government had sought counsel of the Commission as it wanted to strictly follow all the procedures before taking any final decision on the issue.
The present Army Chief Gen. Bikram Singh is due to retire on July 31 after the retirement of present Army chief Gen Bikram Singh. Traditionally, the appointment of chief of services has been made two months before the retirement of the incumbent.
However, in the case of Gen Bikram Singh, the appointment was done three months before the retirement of Gen V K Singh, who was engaged in a
> long-drawn battle with the government over his age issue.
"
Politics & Governance,"
May 02, 2014 20:27 IST
","
Coal block case: P. C. Parakh questioned again
","Former Coal Secretary P.C. Parakh was questioned by the Central Bureau of Investigation for the second day on Friday in connection with the allocation of Talabira coal blocks in Odisha to Hindalco.
During the examination, Mr. Parakh was asked about the procedure followed during his tenure in the allocation of coal blocks. The CBI team headed by a Superintendent of Police also questioned him regarding reversal of the 25th screening committee’s recommendation to grant the Odisha coal block to public sector unit Neyveli Lignite Corporation Limited.
The agency had last year registered the case against Mr. Parakh, Aditya Birla Group chairman Kumar Mangalam Birla, alleging that in 2005 the former Coal Secretary had abused his official position to overturn the screening committee’s recommendation, in favour of Hindalco. Mr. Parakh was questioned for about eight hours on Thursday.
"
Politics & Governance,"
May 02, 2014 20:21 IST
","
Gopal Kanda launches party in Haryana
","Former Haryana Minister and Independent MLA from Sirsa City, Gopal Goyal Kanda, who withdrew support to the Bhupinder Singh Hooda Government in Haryana two days back, launched a political party on Friday.
Named Haryana Lokhit Party, Kanda termed it as an alternative to the existing political system, and assured that his party would work to end “dynasty rule, casteism and regionalism in politics” and work for the development of state.
46—year—old Kanda, who is also the president of the party, said Haryana was deprived of development even after five decades of formation and despite its proximity to the national capital.
“The state is lagging behind in the field of education, healthcare and trade,” he said.
Kanda said “dynastic politics of few parties has become biggest hurdle in Haryana’s development” and asserted that his party would provide people a clean alternative which would be free from caste politics.
“The people of Haryana are looking for a viable alternative. The state’s politics has been under the control of two or three political families. We want to change this,” he said.
HLP is headquartered in Gurgaon in the same building as his MDLR airlines, whose operations had been suspended earlier.
Kanda, who is facing trial in the suicide case of air—hostess Geetika Sharma and is currently out on bail, had on Wednesday, withdrawn support to the Hooda government.
The legislator, who was state’s Home Minister, had earlier this week accused the chief minister of betraying him during crises and also charged the state government with tapping the phones of its Ministers and MLAs. However, the state government had denied the phone tapping charges.
"
Politics & Governance,"
May 02, 2014 20:13 IST
","
NIA team going to Chennai to collect blast data
","The Centre has asked the National Investigation Agency (NIA) to collect data about the twin blasts in a train at Chennai Central railway station on Thursday that left one woman dead and 14 injured.
The Centre's decision to rush a NIA team was taken after the Tamil Nadu Government was assured that the central probe agency would be only collecting data about the blasts as it was probing several cases pertaining to terrorism in that region.
Union Home Minister Sushilkumar Shinde said a team of NIA was being sent to the spot for collecting data.
“We wanted to send the NIA team but the State government told us that CB—CID will probe the matter. Until the State government allows us for a NIA probe, we can’t take the matter in our hands. But we are sending the NIA team for data collection,” Shinde said.
The comments of Shinde come a day after the Tamil Nadu Government had refused any help from the Centre and made it clear that the case would be handled by the CB—CID of the State police.
In the meantime, security agencies were examining the CCTV footage at the Bangalore railway station and also examining those present in the S—4 and S—5 coaches of Bangalore—Guwahati Express to get some lead about the person who planted the explosive material under the seat.
The explosive material was strong but the brunt of its impact was neutralised by the iron seats as well as the flooring of the coaches that were examined by NIA as well as Bomb Data Centre of NSG.
"
Politics & Governance,"
May 02, 2014 20:11 IST
","
CBI files charge sheet in Nido Tania case
","Four of the seven persons accused of assaulting Arunachal Pradesh student Nido Tania at a Lajpat Nagar market in South Delhi on January 29 have been charged by the Central Bureau of Investigation with culpable homicide not amounting to murder.
“Following a thorough probe, we have come to the conclusion that the accused assaulted Nido, which led to his death. However, the investigators did not come across any evidence to suggest that the attack was premeditated with an intention to kill. The assault on the victim was apparently the fallout of a sudden fight between him and the accused persons and only a stick was used as a weapon,” said a CBI official.
Accordingly, the CBI on Friday filed a charge sheet against four of the adult accused persons - Pawan, Sunder, Farman and Sunny Uppal - under Sections 304 (culpable homicide not amounting to murder), 342 (wrongful confinement), 201 (destruction of evidence), 34 (common purpose) and relevant provisions of the SC/ST Prevention of Atrocities Act.
Proceedings against the three other juvenile accused would be initiated in the Juvenile Justice Board.
According to Nido’s family, the incident took place after he approached a shopkeeper for directions to his friend’s house and was mocked by the bystanders over his hair style. In a fit of rage, Nido - son of a Congress MLA - allegedly smashed the glass counter of the shop, which led to a heated exchange and then the accused persons assaulted him. Nido died the next day. The post-mortem report revealed that he died due to internal injuries in the brain and lungs.
The incident triggered a >series of protests by the victim’s friends and members of the North Eastern communities living in the Capital. It also drew sharp reactions from political parties and human rights organisations.
The victim’s relatives alleged that after the police were called in to intervene, they took him to the police station and dropped him again at the scene of crime, following which he was again assaulted. However, the police denied the charges stating that he was not assaulted a second time.
The case was >transferred to the CBI after Nido’s parents met Union Home Minister Sushilkumar Shinde and Congress vice-president Rahul Gandhi in February. The Delhi Police had by then arrested the four adult accused and apprehended two of the juveniles for suspected involvement in the case.
"
Politics & Governance,"
May 02, 2014 20:08 IST
","
Seemandhra stoic as Sonia speaks
","Low turnout greeted Congress president Sonia Gandhi at the Andhra Muslim College grounds on the Ponnuru road here when she arrived to address a campaign rally Friday, apparently reflecting the anger of the people of >Seemandhra region over state’s bifurcation. It was Ms Gandhi’s first visit to Seemandhra post bifurcation.
Around 7,000 people turned up for the rally, the only one she was addressing in Seemandhra ahead of the May 7 elections.
The crowd remained indifferent and not once did it cheer during her 30-minute address.
“I don’t grudge your criticism or anger,” the Congress chief said, while taking pains to explain the reason for the state’s bifurcation, and asking the people to “look forward”.
“The state re-organisation was done in a manner that protects the interests of Seemandhra. It is done in full fairness to Seemandhra,” she stressed, and listed out the various provisions in the Andhra Pradesh Reorganisation Act-2014 that would address the needs of the region.
"
Politics & Governance,"
May 02, 2014 19:43 IST
","
Chidambaram played fraud on budgets: Yashwant Sinha
","The spat between Union Finance Minister P. Chidambaram and BJP Leader Yashwant Sinha deepened on Friday. “I may have been the worst Finance Minister after 1991, but I did not commit fraud,” Mr. Sinha said in a statement on Friday. “Mr. Chidambaram has been the cleverest Finance Minister since 1991 and has played fraud on the budget not only this year but always.”
Mr. Sinha was reacting to >Mr. Chidambaram’s comments at a press briefing at Congress headquarters on Thursday where he had said that the BJP leader’s performance as Finance Minister “was such that he had to demit the office on July 1, 2002”. “I may point out that 2000-01 and 2002-03 were the worst years since liberalisation in terms of growth and Prime Minister Vajpayee was forced to replace the Finance Minister,” Mr. Chidambaram had said. “I thought Mr. Sinha would be happy to remain a distant memory for the people of India, however, he seems determined to remain relevant in his party.”
Earlier, in April, Mr. Sinha and Mr. Chidambaram had made similar remarks about each other’s tenures as Finance Minister. The two sparring Finance Ministers have been debating amongst other issues the true fiscal deficit, or excess of government expenditure over its income, for India.
In Friday’s statement, Mr. Sinha clarified remarks he made earlier this week in a newspaper interview about Mr. Chidambaram: “I said that the seeds of the present economic crisis were sown by Mr. Chidambaram himself in 2008-09…. I also added that the liberties which were taken with the fiscal then were still bothering us and that Mr. Chidambaram’s claim that he had restricted the fiscal deficit to 4.6 per cent of the GDP in 2013-14 was questionable”.
He stated that he had also added that Mr. Chidambaram “had played fraud in the interim budget and that the next government should come out with a white paper to expose his lies”. Mr. Sinha further stated that Mr. Chidambaram had in his 1997-98 budget targeted a fiscal deficit of 4.5 per cent of the Gross Domestic Product, however, the target was missed and the figure had ballooned to 5.8 per cent in the subsequent year’s budget.
The expenditure figures released by The Comptroller General of Accounts of the Ministry of Finance for April – February 2013-14 show that in actual numbers the fiscal deficit has exceeded Mr. Chidambaram’s revised estimates presented in February 2014 by a “whopping” Rs. 74,760 crore (from Rs. 524539 crore to Rs. 599299 crore), Mr. Sinha said. “Within six weeks the veracity of the figures presented by Mr. Chidambaram has been questioned by his own agency. Instead of challenging me on facts, Mr. Chidambaram has decided to attack me personally,” Mr. Sinha stated.
"
Politics & Governance,"
May 02, 2014 19:40 IST
","
Deploy adequate forces in east UP: BJP tells EC
","The BJP on Friday asked the Election Commission to ensure adequate deployment of central security forces on all polling booths in eastern Uttar Pradesh for a “free and fair” election.
“BJP very earnestly requests the Election Commission to deploy adequate number of central forces on all booths of UP’s Poorvanchal region (eastern region) so that a free and fair election may get conducted here,” said BJP leader Ravi Shankar Prasad at a press conference here.
Hitting out at the Congress, Mr Prasad said they lodge complaints before the EC against Mr Modi like “kids with petty excuses”.
According to the Representation of People Act, a person can canvass at above a distance of 100 metres after casting votes. Mr Modi did the same thing as he spoke to the media at a distance permissible by the EC, the BJP leader said.
Replying to a query that the EC ordered the FIR against Mr Modi with a biased approach, Mr Prasad said, “we have full respect for EC but the poll body should have first enquired about the incident and then ordered for registering an FIR”.
“When leaders like Abu Azmi and Azam Khan gives hate speeches and remarks, why doesn’t this Congress complain to the Election commission,” he asked.
Leaders like Mulayam Singh Yadav, Lalu Prasad, Mayawati, Nitish Kumar, and Arvind Kejriwal are campaigning only against Mr Modi and speaking against him, he claimed.
"
Politics & Governance,"
May 02, 2014 19:07 IST
","
HC rejects Adarsh Society plea opposing MoD title suit
","The Bombay High Court on Friday rejected an application made by scam-tainted Adarsh Housing Society opposing the title suit filed by the Union Ministry of Defence claiming ownership on the land in South Mumbai where the plush building stands.
The Defence Ministry had in December 2012 filed a title suit in the High Court stating that the land in Colaba where the 31—storey Adarsh building is constructed belongs to them (Defence Ministry) and possession should be handed back to them.
The Defence Ministry alleged that the Adarsh building has been constructed “illegally and unlawfully”. It further states that MoD is the sole owner of the land and that the land was transferred to Adarsh Society by fraud, collusion and connivance on the part of the society members, ministers and bureaucrats of the state government.
The Society had, however, filed an application opposing the title suit on the ground that only the Defence Estate Officer (DEO) can file title suits on behalf of the Defence Ministry.
The Society relied on an order passed by the General Governor Council and the Government of India in 1930.
“The Society also relied on the military land manual which says that only the defence estate officer is authorised to file and conduct a title suit in court on behalf of the Ministry of Defence,” Society lawyer Saket Mone from Vidhi law firm argued.
The Defence Ministry refuted this and argued that the Ministry is empowered to file and conduct title suits.
Justice Roshan Dalvi on Friday heard arguments from both sides and rejected the Society’s application.
Meanwhile, in a related development, a division bench of Justices P V Hardas and A S Gadkari refused to hear a public interest litigation filed by former journalist Ketan Tirodkar alleging that the CBI has failed to arraign as accused, the family members of several politicians who own flats in the society under benami names.
"
Politics & Governance,"
May 02, 2014 18:54 IST
","
Congress desperation showing in ‘stoop-gate’: BJP
","Asserting that it had nothing to fear, the BJP on Friday lashed out at the Congress over the 'snoopgate' probe issue, accusing it of “stooping low” in “desperation” and said the next government would be within its rights to review the “malafide” last—minute decision.
As the UPA Government declared that a judicial commission to probe ‘snoopgate’ allegedly involving Narendra Modi will be in place before the Lok Sabha poll process comes to an end on May 16, the BJP accused the Congress of “deliberately” diverting the attention of the people from the real issues of unemployment, price rise and corruption.
“They are trying desperately to get at least one Judge to agree to head the ‘snoopgate’ commission. I doubt very much if any of these moves is likely to succeed. Even if it did, the future government would be well within its legitimate rights to review such a malafide last—minute decision of the UPA,” BJP leader Arun Jaitley said.
BJP leader Ravi Shankar Prasad said, “It is not snoopgate, it is stoop-gate. The Home Minister of India is stooping to this level. I can see the desperation.... No judge is willing to inquire into it, but they are insisting. We don’t fear you.”
He wondered if the ruling party was trying to “pressurise” the judiciary in appointing a judge to the snoopgate commission.
Prasad said while his party had no fear about the snoopgate probe, “I am concerned about the diginity of the office of a judge.”
“Are you going to pressurise the judiciary for your collateral, extraneous purposes. This is utter desperation, nothing else,” he said.
“We are fighting the election on the issue of growth, on the issues of price rise, unemployment, on stinking corruption. They have no response to that and therefore deliberate diversion is being done on the so—called snoopgate. Kapil Sibal and Sushilkumar Shinde are stooping to this level,"".
He said, ""No judge is willing to inquire into it, but they are insisting, when after 10 days a new government is going to be in power led by Narendra Modi. This is desperation, helplessness, irritation of the Congress and I can understand it because the people are not giving them any indulgence during their campaign and Congress is going to have its lowest ever performance,” he said.
"
