Category,Date_and_Time,Keywords,Article
Science & Technology,"
June 02, 2018 17:13 IST
","
Go, Google, gone
"," ‘In India, we choose our career after becoming an engineer,’ reads a popular meme on digital media — and this applies to Apoorva Tiwari as well. A final year student of Electronics and Communication at Vidya Jyothi Institute of Technology, app development is her forte. This deviation from her academic branch concerned her parents initially, but Apoorva’s impressive academic progress didn’t clash with her coding interests. 
She was the only student from Hyderabad to have made it to the annual Google I/O conference, California this May. Thrilled to have shared stage with global leaders and developers, she says the opportunity helped her engage in fruitful discussions on building applications with Google and many open source platforms (Android, Chrome and Chrome OS, APIs, Google Web Toolkit, App Engine). 
Her entry was facilitated through an app development course by Udacity. A series of contests helped her bag a Google scholarship out of a 5000-member community. Commitment levels, participant camaraderie and development prowess were the criteria. “This course has been interesting. There were contests that judged our abilities on a daily basis, I felt thrilled to have made the cut,” Apoorva says. She calls the Google I/O conference an unforgettable experience, “It was great to interact with global leaders. Though the course had us engaging with hangout calls with them regularly, meeting them at the conference was special.”
 I want to create something that will help people at an individual level too, like helping people to battle depression; no current apps do a great job of it
Not everything at the conference was technical, she made friends with people from different countries; it was a learning curve. “We were introduced to various Google products. I aspire to be an Android developer and I wanted to understand nuances, drawbacks and market needs before I take the plunge. The Google staff made sure we had enough opportunities to break ice — a DJ night, a magic show, performances by a few international bands and a dinner with the Indian community. It helped us get to know each other better. It was nice talking to them about aspects that could enhance our career prospects.”
Did the course and programme play spoilsport with her college schedules? “Not really. I was in my final year, so it didn’t demand my presence at college on a regular basis.” The first girl in her family to have made an overseas trip, she wishes to put her app development lessons to make the world a better place — she has ideas of an app that will help identify trash in every area that has to be disposed. “I want to create something that will help people at an individual level too, like helping people to battle depression; no current apps do a great job of it,” she points out. 
For those aspiring to make it to future Google I/O conferences, she says, “Enrolling in many community programmes beyond college is necessary. It will give you a direction. One must focus on academics, but shouldn’t compromise on their true calling.” 
Apoorva, currently wrapping up her nanodegree course in app development hopes to a bag a job that will further her interests. 
"
Science & Technology,"
June 03, 2018 00:02 IST
","
Demystifying Science - June 3, 2018
","Two teams of researchers have identified a gene family called NOTCH2NL that appears to play an important role in human-specific cortex development and may have been a driving force in the evolution of our large brains. The evolution of larger brains, in the last 3 million years, has played an important role in our ability as a species to think, problem-solve, and develop culture. The researchers have found that NOTCH2NL can substantially expand the population of cortical stem cells, which in turn generate more neurons, making the human brain larger. The findings have been published in the journal, Cell.
 
"
Science & Technology,"
June 04, 2018 17:35 IST
","
Our competition is cash by itself, says PayPal's Guru Bhat
"," 
PayPal started domestic payments in India six months ago. How is that coming along?
It’s coming along well. We processed upwards of 450 billion dollars in payment in 2017 globally; that’s over 16,537 dollars per second. Still when we started the domestic payment six months ago, there were a lot of questions: were we too late, are there too many rival companies... But if you look at the payment volume in India, 85% is still in cash — so that is where our focus is. Our competition is not the other players in the market but cash in itself. Moreover, here we have the regulatory authorities as well as the government championing digital payment. Combine that with the increasing spending power of the Indian middle class, smartphone availability, Internet penetration and the number of millennials (people under 35 years of age) — the Indian market is really vibrant right now.
What is your growth strategy for India, are you looking at expanding presence in the Tier-2 and Tier-3 cities?
When we introduce something into a new market which is as complex as India, we need to understand the user base and modify our products to fit the Indian need. We recognise that the Indian market needs to be a marathon not a sprint. Given the dynamic market, we can’t build a fixed product here. We need to keep redesigning it to meet fresh demands.
India is an untapped opportunity for digital payments. Currently, we are focusing on the tier 1 market, but we will grow subsequently. Government initiatives and a favourable regulatory environment, along with mobile adoption, are changing the game in India. There has been a positive impact on how consumers and merchants are interacting, and this will accelerate the process of bringing online and offline together.
I’m not sure if we can have something truly offline, however, because you’ll still need to go online to sync your information to your account. But yes, say you have a lot of information about a customer’s payment activity, their patterns, how religiously they pay all their bills, then you can build in a system for offline payment. The technology is not an inhibitor there. If there is a need for it, we will make it happen.
The other thing we are working on is making PayPal easily accessible — any merchant can sign up to a PayPal account.
How do you plan to stand out in such a highly competitive market?
We have been in the market for several years. With so much data, comes a lot of insight as well. Our risk management is efficient — reducing fraud loss rates to 0.28% — that’s our secret sauce.
We use artificial intelligence to prevent collusion fraud — where a buyer and seller collude to cheat the company. We have algorithms to read patterns and detect which combination of buyers and sellers are most likely to commit fraud.
Moreover, we have a unique value proposition to protect sellers as well as buyers, where a customer has 180 days to dispute a fraudulent transaction.
Another difference right now is that our customers are not required to hold a balance or a wallet, you can directly use funding instruments like a credit or debit card. So the KYC mandate to register the customers’ Aadhaar or PAN number does not apply to us as of now.
What sort of tie-ups is PayPal looking at, to increase its user base?
For the domestic launch, we had partnered with a select set of merchants like BookMyShow, Yatra and MakeMyTrip. PayPal is now available for all merchants and consumers — offering a single account for their domestic and international transactions.
Do you see cryptocurrencies playing a big role in digital payments in the future?
If you look at the technology behind cryptocurrencies — the blockchain — that itself is promising; there is a huge potential in certain use cases. As a neutral payment system, we are committed to accepting the forms of payment our customers and merchants demand. But right now, we have not seen that kind of demand for cryptocurrency. It is just one of those things we are keeping an eye on, but not very closely.
My personal opinion is that despite the noble intention to enable free movement of money, it is lending itself to a lot of rackets. Moreover, it is prone to fluctuation, and anything that has so much speculation around it will not attract the big players. So it will be interesting to see what happens after the dust settles down after a year or so. Now, there is no technical reason to not use it, but we just do not see the need to introduce it.
"
Science & Technology,"
June 04, 2018 16:26 IST
","
Failure and faith
"," Like most football fans the world over, I spent late Saturday night last week, glued to a screen, watching the finals of the UEFA Champions League between Liverpool and Real Madrid, arguably one of the biggest matches in professional football. That Real Madrid won 3-1 was a result that surprised nobody really, though it disappointed many. However, the two big individual stories of that night mirrored certain patterns one sees in the entrepreneurial and startup world.
Take the biggest story of the night, for example, that of the Liverpool goalkeeper Loris Karius. He was a goalkeeping talent who at one point was considered to be at the same level, or even better, than the similarly-hairstyled David de Gea, who is now acknowledged to be one of the best goalkeepers in European football. 
But the only image that people will remember is of Karius, crying inconsolably, hands folded, apologising to Liverpool fans everywhere for two utterly improbable mistakes. He definitely did not plan for these. His coach, or investor sort of, believed that he was a better choice than Simon Mignolet, someone of comparable skill but lesser pedigree. He was just like a founder with great background and history that everyone — investors and otherwise — believes will result in unerring success. 
But something as trivial as two wrong decisions can change everything. Like it did for Karius. Karius right now is being courted by a third-tier Italian club, Rimini, in all seriousness. Hopefully, he need not accept the offer, but the startup world is littered with instances of those who had to accept similar changes. Take for example, the brashest entrepreneur out of IIT Bombay, who to be fair, upended a lot of what a startup dealing with real estate could do. If Karius does end up at Rimini, we’ll all do well to remember it is no ignominy, just as a superstar of the ‘housing’ sector working at a less fancied firm is.
Now, for the other big story of that night. Gareth Bale’s first goal. It was a feat of unimaginable athleticism that had enough visual appeal to go down in history as one of the greatest ever goals in competition history. For all the cachet that Bale has, for all the cachet that the BBC (Bale Benzema Cristiano) attack formation has, Bale’s star had been waning. When he was brought on as a substitute, it felt more like a defensive move than one that is attacking. Yet, he comes on. And his first touch is a bicycle kick that goes straight into goal. The only goal of the night for Real Madrid that did not depend on Karius’ nightmare performance. A goal that reminded many of the silliness of writing talented people off. Again something that happens all too often in the startup world. Investors tend to be so obsessed with what is fresh in the entrepreneurial funnel that they completely ignore people whose ideas demonstrably work.
They say it is too wishy-washy to draw real-life analogies from sports. But as far as I care, sports keeps proving this idea wrong.
The author heads product at a mid-sized startup in the real estate space
"
Science & Technology,"
June 04, 2018 14:42 IST
","
'Dark Souls Remaster' review: Die in glorious detail "," Love it or hate it, the Dark Souls series is one of the most unique and visceral gaming experiences out there today. Some may call it masochistic and make religious warding signs every time they see it, but those who have had a taste of the darkness of Souls games always want more. No matter how many times the game punishes players by hurling them off a cliff, with a well-placed enemy or one of their towering bosses, one cannot help but come back. So much so it has spawned off a niche of ‘Souls’ games like Bloodborne, Nioh and the upcoming Code Vein. All this, kick-started by a game called Demon’s Souls, followed by Dark Souls, that gets a brand-new remastered treatment, so that you can go right to the source of where the ‘Souls’ craze begins.


What is it about?
The Dark Souls series has always been lauded for its inventive and unconventional storytelling experiences. Every one of these games throws you into a mysterious fantasy world, with just a smidgen of lore that does not make any sense whatsoever. While you’re dying all over the place, the game never hand-holds you through boring storytelling, if you don’t want to. However, for those intrepid explorers, a massive treat awaits, as the game encourages you to observe, connect the dots, find story snippets lying around. Thread by thread, it weaves itself into a beautiful tapestry, telling a deep story with very interesting characters, all left to you to interpret.




You play a character that you can create from a bunch of presets and classes, who finds himself in a dark world. An undead entity doomed to roam the lands, each death stripping him of his humanity further and further into a wraith. Even though you resurrect, you have to constantly quest to preserve what vestiges of humanity you have left, as you rush to reignite the Age of Fire once more. 
No game captures you as much as Dark Souls, as you keep exploring on and on, deep into this world of true despair. It is that feeling of existential dread that keeps you going on. Chalk that up to the superb gameplay. 
How does it play?
At its core, Dark Souls is an action role-playing game, that’s a lethal combination of a deep sword play and dodge, parry system and completely devilish level design. Along with its secret sauce, which is death. Expect to die hundreds of times, because that is the core mechanic on which this game is built upon. Killing monsters of all kinds gives you a currency called Souls, which you spend on upgrading yourself or buying items. If you die, your souls remain on the spot of your death for you to double back and collect them again. If you die en route, you lose everything. 
This risk reward system is the whole and soul of this game, and while it does sound dark and dreary, it’s actually the most fun element. The elation you feel when you narrowly escape that death is like a drug that keeps on giving. This game is so unbelievably unforgiving that it plays some sort of reverse psychology joo joo on you, making you want to conquer that level. Where in an RPG, when you level up, you get better, in Dark Souls you level up your skills with the game. No matter how high your level is, even the lowest minion can kill you with a few well-placed hits. The level design is treacherous, tricking the careless adventurer into plunging to his death. 




The bosses though are truly scary, instilling complete and utter fear in you. All of them are truly creepy, crawling straight out of your worst horror movies. There is a secret escape-it-all though in Souls games, which is the evade roll, which just adds that level of agility to the game that makes you feel like a proper swashbuckling knight. Add to that some magic and some quick thinking on your part, you can overcome any of these bosses. That endorphin hit you get will make you shout in glee. Good luck trying to explain what just happened to your flatmates though.
The original Dark Souls was a beautiful game, but a complete mess on PC. The remaster just makes everything so much better, running at a smooth 60 frames per second, even in the dreaded blight town. If you own a good PC, PlayStation Pro or Xbox One X, the game can scale up to 4k. With improved graphics, texture quality and lighting, worthy for today’s gamers. 
Should you get it?
If it is challenge ye seek, oh adventurer, then look no further than Dark Souls, to set you off on ye merry way. Those warriors on the go, may want to wait till the Switch version launches to take this masterpiece on the subway with you. Whether you are a returning player or a newbie, you cannot afford to miss out on Dark Souls: Remastered. 
"
Science & Technology,"
June 07, 2018 19:45 IST
","
The best from the science journals: Melancholic moulds and the first footprints
","First footprints?
Published in Science Advances
South China is now officially the place where an animal laid the first footprint. A new fossil containing track imprints, believed to have been made by a pair-legged creature like a millipede or a worm with legs has been discovered here. The fossil is about 635 to 541 million years old, which means that the creature lived during the geological period known as Ediacaran Period. With this new fossil, scientists now have solid evidence to prove that the Ediacaran Period saw the first animal with paired appendages, thus filling gaps in evolutionary history.
Blood protein atlas
Published in Nature




Did you know that we have above 1,500 proteins in our blood? And there are about 2,000 genetic associations with these proteins? An international team of researchers has now created the first detailed genetic map of the proteins in human blood plasma. The scientists built this map after studying about 3,300 individuals, their DNA, and genomes. The authors say that this atlas can improve our understanding of diseases and help in developing new drugs.
Hidden state of matter
Published in Nature Materials
Using new high-tech equipments researchers have now seen electrons interacting inside a superconductive alloy. Short pulses at terahertz frequency were used to bombard the superconductor (niobium-tin) and these flashes suddenly turned the compound into a new state of matter. Further studies are planned to understand more about this hidden state which can find applications in quantum computing.
Unhappy fungi
Published in Nature




Even lowly fungi leading a hidden life in tree roots are affected by pollution. Looking at 40,000 roots, 13,000 soil samples from 137 forests in 20 European countries, a ten-year study has now shown that increased nitrogen and carbon in the air is causing stress to helpful fungi that live on the roots of many trees. The team also found that as the fungi went sick the trees also looked malnourished indicating how the plant-fungal symbiotic relationship was important for the survival of the tree.
Stubborn Zika
Published in Science Advances




To understand if Zika infection in newborn babies can persist into adulthood, researchers infected three-day-old mice with the virus and observed its developments. They found that even after reaching adulthood, the mice suffered from seizures, showed reduced motor functions and did not perform well in behavioral and memory tests. The team also found that by using a drug called infliximab, the number of seizures could be reduced. This study is the first to look at the long term effects of the disease.
"
Science & Technology,"
June 09, 2018 19:08 IST
","
Even small dams have severe impact on river ecology
"," It seems to stand to reason that small dams cause less environmental problems than large ones. But the first study on small hydropower projects in India proves that they cause as severe ecological impacts as big dams, including altering fish communities and changing river flows.
Such hydroprojects, which usually generate less than 25 megawatts of power and consist of a wall that obstructs a river's flow, a large pipe that diverts the collected water to a turbine-driven powerhouse to generate electricity and a canal that releases the water back into the river, are touted to be better than large dams because they submerge fewer regions and barely impact river flow. Such projects receive financial subsidies — even carbon credits — for being ‘greener’.
To see how green such small dams really are, scientists from organisations including Bengaluru’s Foundation for Ecological Research, Advocacy and Learning (FERAL) compared almost 50 kilometres of three river tributaries — over one undammed and two dammed stretches — of the Netravathi river in the Western Ghats of Karnataka. 
They studied three zones in detail: above the dam (upstream), in the area between the dam’s wall and the powerhouse, sometimes completely devoid of water (‘de-watered’) and below the powerhouse (downstream). Here, they studied differences in water depth and width, which signify how much habitat is available to the river's denizens, and habitat quality through factors including dissolved oxygen content and water temperatures. 
Their results show that changes in water flow in the dammed sections reduced the stream’s depth and width; water in these stretches was also warmer and had lower dissolved oxygen levels. These changes were most evident in the ‘de-watered’ zones and worsened in the dry seasons.
Habitat quality
This decrease in habitat quantity and quality showed in fish diversity too. The team found that un-dammed stretches recorded a higher diversity of fish species, including endemics (species seen only in the Western Ghats).
“The upstream and downstream stretches get disconnected and this impedes the river,” says Suman Jumani, lead author of the study and researcher at FERAL.
Such small hydro-projects cropping up on rivers in the Ghats is a serious worry, she adds, especially because they do not require environmental impact assessments.
“It is not a question of small versus big dams,” says Jumani. “Small dams are not necessarily bad if there are proper regulations in place.”
Regulations could include limiting the number of dams in a river basin or maintaining a minimum distance between dams on the same river stretch.
"
Science & Technology,"
June 09, 2018 19:06 IST
","
New route to clean wastewater
"," Self-propelling nanomotors, just 200 nanometre in size, could be used for wastewater management in chemical industries. Developed by researchers from Indian Institute of Science Education and Research, Kolkata, and The Institute of Mathematical Sciences, Chennai, the nanomotor can be used for transporting catalysts needed in harsh chemical environments and removing unwanted chemicals in water.
Nanorods (rod shaped nanomotors) are made using ammonium heptamolybdate tetrahydrate and dispersed in the solution to be treated. When hydrazine sulphate is added to water, it reacts with the nanorods producing nitrogen gas. This leads to an osmotic stress in the fluid and causes the nanorods to move along the direction of the gas evolved. 
The paper published in Frontiers in Chemistry says that this nanomotor is amongst the fastest reported active nanoparticles.
“Molybdenum based soft-oxometalates are non-toxic and easy to synthesize. The complementary charge interactions on the surface trigger their motion. The speed can be increased by increasing the concentration of the fuel hydrazine on the surface of the nanorods and they were found to remain in their motile state for about three days,” says Prof Soumyajit Roy from the Department of Chemical Sciences, IISER Kolkata and one of the corresponding authors of the paper.
Structure matters
The anterior end of these structures is capped like a pencil while the posterior end consists of a series of rod like protrusions. “We believe that these exposed ends of the rods provide a more accessible reaction surface than the capped end. 
Therefore, the fuel hydrazine preferentially reacts at the posterior open end and generates gaseous nitrogen which triggers motion and the propulsion speed reaches up to a maximum of 600 metres per hour.” says Prof. R. Adhikari from Department of Physics at IMSc, Chennai who is one of the corresponding authors of the paper, in an email to The Hindu.
In a paper to be published in the journal Nanoscale, the researchers have shown that another type of nanomotor in the form of a sphere (using titanium dioxide, heptamolybdate and gold) can also be used for delivering a catalyst to a particular area of interest by using visible light. The nanospheres were found to move away from visible light. “The catalyst triggers a reaction and the pollutants get adsorbed on the nanospheres leading to quickly removal of organic pollutants from water. The solution can then be filtered, dried and the nanosphere can be retrieved,” says Apabrita Mallick, an Integrated PhD student at IISER Kolkata and one of the first authors of the paper.
"
Science & Technology,"
June 09, 2018 19:04 IST
","
Now, polyethylene plastic with antibacterial properties
","Silver nanoparticles embedded on clay have now been successfully dispersed inside plastic to create new antimicrobial films, filaments and can also be moulded into other plastic items. Silver nanoparticle-embedded plastics were found to have greater than 99% antibacterial activity against common bacterial pathogens like Escherchia coli and Staphylococcus aureus.
Silver nanoparticles of about 10 nanometre size were deposited on clay particles of about 200-300 nanometre length. “We used an inorganic clay found in volcanic sites called Montmorillonite. Silver nanoparticles have a tendency of agglomeration or clumping due to high surface area, so we provided clay as a platform for the silver to sit on,” explains Anasuya Roy, PhD scholar at IIT, Delhi and first author of the paper published in Polymer Composites.
Clay-silver compound
The clay–silver compound, containg 10% silver, was then loaded into the high density polyethylene plastic using a melt compounding method. “The clay is inorganic and highly hydrophilic, whereas our plastic is organic, hydrophobic and nonpolar. They are highly incompatible. So we use a compatibilizer, which gives the required adhesion between the two phases. Also, inside the twin screw extruder machine, the necessary speed, temperature and time gives uniform mixing and the silver-clay is well embedded inside the plastic,” explains Prof. Mangala Joshi, from Department of Textile Technology at IIT Delhi and corresponding author of the paper.
Films and filaments
They then converted the newly formed silver–clay–plastic nanocomposite into films, filaments and also moulded these into specimens and checked the antibacterial property. The films and filaments showed higher activity than the moulded ones. “In the moulded ones, we found that the antimicrobial silver was not available on the surface leading to the reduction in activity. But when the concentration of silver–clay complex was increased from 3% to 5%, the moulded ones also showed excellent activity against the two pathogens,” adds Joshi. The research team has got a U.S. patent.
The team also tried other metal ions like zinc and copper in the place of silver. “Silver has a high reduction potential, meaning it can quickly go from silver ions to silver nanoparticles without the need of any external reducing agent. These silver nanoparticles interact with the bacterial cell wall and also generate oxidative stress inside the cell, thus killing it,” explains Roy. “The content of silver is very low in these nanocomposite plastic so no toxicity to human cells. Further, we checked the biocompatibility of the plastic with human skin and blood in vitro. In vivo tests are in progress and we hope that the new plastic can find a wide range of applications in the biomedical field and also in commodity items where this antimicrobial property can be an added advantage.”
"
Science & Technology,"
June 09, 2018 19:00 IST
","
What caused the Dec. 1, 2015 Chennai downpour? ","On December 1, 2015 Chennai and its surrounding regions experienced an unprecedented, heavy rainfall. In a region where the average rainfall during the season is expected to be 8-10 mm per day, one of the rain gauges in the city recorded an abnormally high, 494 mm, rainfall over 24 hours that day. This led to death of nearly 250 people, and Chennai was declared a ‘disaster zone’. There have been attempts to explain this phenomenon of how clouds remained stationary over this region, continuously giving rain over 24 hours. In a first, Jayesh Phadtare of Centre for Atmospheric and Ocean Sciences, Indian Institute of Science, Bengaluru, links the presence of the Eastern Ghats to this phenomenon, in a paper published in Monthly Weather Review.
Cold pool
When clouds give out water droplets, the droplets evaporate mid-air, as they fall down. This cools the surrounding air, forming a cold pool of air which sinks down and flows horizontally. “The gusty cold wind that heralds an approaching thunderstorm is nothing but a cold pool, which plays a pivotal role in cloud dynamics.” says Jayesh.
Unlike the Western Ghats, which run close to the west coast of India, the Eastern Ghats are nearly 200 km away from the coast. Therefore, the link between the mountains’ orography and the rainfall over the region is not obvious, and this is the first study to link the two. Jayesh, who is studying cloud propagation over the Indian region, could see the connection by observing satellite images: “In Kalpana-I satellite images, I saw that the clouds that gave so much rain over Chennai on 1 December 2015 moved from Bay of Bengal to the coast and became stationary there,” he says. Realising that the Eastern Ghats must be having a role in this, he went on to study a model of the system. “The interaction between mountains, clouds and cold pools became clear after performing the model experiments,” he adds, in an email to The Hindu.
According to the model, the cold pool was obstructed by the Eastern Ghats from flowing downward. Hence it piled up and remained stationary over the Chennai region. “The reason for the clouds remaining stationary was that there was a balance between the piling of cold pool along the mountain and the winds from the bay. This does not happen in all heavy rainfall incidences over Chennai,” says Jayesh.
Sensitivity experiments were done to check this model. In the experimental model in which the orography was absent, the winds just swept downstream and the clouds moved inland. In the model where the evaporative cooling was removed, the cold pool did not form at all and the clouds moved over the Ghats.
Dust storms
Cold pools are known to play an important role in the dust storms (Aandhi) that form in northern India. They form by the evaporation of raindrops. This process is more efficient in the drier and warmer environment as there is lot of scope of evaporation. So, the cold pools that form in these conditions, are deeper and more vigorous. “As pre-monsoon conditions in north India are very dry and warm, cold pools that accompany the pre-monsoon thunderstorms there are far more destructive, causing widespread damages,” says Jayesh. For the first time, this study links cold pools and the mountain structure to explain rainfall over south India.
Though the primary aim of the study is to explain the anomalous rainfall over Chennai on December 1, 2015, ""the understanding gained from this analysis can be useful for improving the general weather forecast over this region,” the author writes in the paper.
"
