Category,Date_and_Time,Keywords,Article
Sports,"
February 02, 2018 22:27 IST
","
Sharath’s second coming
","Achanta Sharath Kamal is the classic comeback man. From his maiden 2003 conquest to claiming the senior National table tennis men’s singles title five years in a row, spilling it in the next five and regaining it twice in the last two years, he equalled Kamlesh Mehta’s record of eight titles at Ranchi last week.
It’s a second coming for the Chennai-based champ, laid low by a hamstring injury in 2015, wheelchair-bound for four weeks and able to walk without support only three months later. From an all-time high world ranking of 32, he had crashed to 74 the same year.
“I largely went unchallenged when winning five times on the trot, with either 4-0 or 4-1 verdicts,” Kamal told The Hindu on the sidelines of the Petroleum Sports Promotion Board (PSPB) inter-unit tournament here.
Recalling his Ranchi triumph, he said, “I was in Chennai all December. I trained in small halls where the ball travels faster than the bigger arenas that host major National or international tournaments. Such a switch suited me fine and I could come out guns blazing,” he said of his success.
The climb back to the top was slow but steady. Under the tutelage of coach Linus Mernsten since 2012, his game saw a transformation. The Swede who previously trained England and Luxembourg stood by his ward through the depths of despair. 
“I began to counter Anthony Amalraj with the backhand flick that he used to subdue me with. Consequently, I would lean less to the right to curb my overtly forehand game, realigning my body and correcting the posture,” said the highest-ever ranked Indian paddler.
The road to the final saw him cruise through seven rounds at his explosive best. “As the tournament progressed, my timing only got better,” said Kamal, a senior manager in Indian Oil. As always his pet stroke is the forehand top spin lash, unleashed close to the net with the ball on the ascent. “It defies physics,” he said of the shot, mastered under his uncle Muralidhara Rao.
“With Sharath based in Europe and adopting their style of play, he had difficulty in adapting to Indian conditions — the air, atmosphere, ball and tables. That caused his slump. Now that he has blended the two, he’s doing well. I wish he wins the National title a ninth time, because he deserves it for his dedication,” said India coach Arup Basak.
"
Sports,"
February 02, 2018 22:26 IST
","
Sindhu survives a stern test
","It proved to be a truly testing day for the host at the $350,000 India Open on Friday. Moreover, coach P. Gopi Chand could only watch helplessly as a vast majority of his trainees tumbled without stretching their rivals.
One after another, B. Sai Praneeth, Sameer Verma and P. Kashyap lost in straight games and left the men’s singles draw without any home interest. Shockingly, this is the second successive year when the men semifinals is without an Indian.
If that was not disappointing enough for spectators present at the Siri Fort Indoor Complex, the meek surrender of Saina Nehwal came as a shock.
The saving grace was the survival of defending champion P.V. Sindhu and the Pranav Chopra-N. Sikki Reddy combine. Sindhu’s preparedness was severely tested as she needed a decider to stay alive unlike the convincing display from Pranav and Sikki. 
Saina’s first defeat in four meetings to USA’s Beiwen Zhang was followed the exit of Olympic champion Carolina Marin. 
Down 0-6 in the first two minutes meant Saina was never allowed to settle down. She struggled through the 12-minute opening game, hardly finding her feet and the ‘feel’ for the strokes. In the second game, Zhang showed that Saina had very little left in the tank. 
A panting Saina, a finalist last Sunday in the Indonesian Masters, began to err in judgements and sent the shuttles long on the ‘big’ points, including the match-point. 
Zhang, who represented Singapore before falling out with her Chinese coach and moving to the US three years ago, will now take on another surprise semifinalist, Hong Kong’s Cheung Ngan Yi, the conqueror of Marin 21-12, 21-19.
Earlier, Sindhu had to deal with 13-20 deficit in the second game against Marin’s teammate Beatriz Corrales. Sindhu then saved six game points to reach 19-20 before the Spaniard levelled and forced the decider following a ‘lucky point’ off the net-chord. But those six points helped Sindhu regain her self-belief and she raced through the decider. 
In the one-sided men quarterfinals, Iskandar Zulkarnain, the conqueror of K. Srikanth, advanced at the expense of Sameer. Chinese Taipei’s Chou Tien Chen raced past Praneeth after Kashyap began the trend with a straight-game defeat against China’s Qiao Bin.
Quarterfinal results: Men: Qiao Bin (Chn) bt P. Kashyap 21-16, 21-18; Chou Tien Chen (Tpe) bt B. Sai Praneeth 21-15, 21-13; Shi Yuqi (Chn) bt Wang Tzu Wei (Tpe) 21-13, 21-12; Iskandar Zulkarnain (Mal) bt Sameer Verma 21-17, 21-14.
Women: P.V. Sindhu bt Beatriz Corrales (Esp) 21-12, 19-21, 21-11; Ratchanok Intanon (Tha) bt Yip Pui Yin (Hkg) 21-11, 21-11; Beiwen Zhang (USA) bt Saina Nehwal 21-10, 21-13; Cheung Ngan Yi (Hkg) bt Carolina Marin (Esp) 21-12, 21-19.
Doubles (involving Indians): Men: Marcus Fenaldi Gideon & Kevin Sanjaya Sukamuljo (Ina) bt Manu Attri & Sumeeth Reddy 21-11, 21-15. Women: Du Yue & Li Yinhui (Chn) bt Ashwini Ponnappa & Sikki Reddy 21-17, 23-21; Jongkolphan Kititharakul & Rawinda Prajongjai (Tha) bt J. Meghna & Poorvisha Ram 21-10, 21-15.
Mixed doubles: Pranav Chopra & Sikki Reddy bt Han Chengkai & Cao Tong Wei (Chn) 2-8, 21-13; Mathias Christiansen & Christinna Pedersen (Den) bt Satwiksairaj Rankireddy & Ashwini Ponnappa 21-17, 21-11.
"
Sports,"
February 02, 2018 21:45 IST
","
Top-10 finish for Abhijeet and Debashis
"," Abhijeet Gupta and Debashis Das gate-crashed into the top-10 bracket before top seed Levon Aronian won the title following a four-player playoff in the Tradewise Gibraltar Masters chess tournament here on Thursday.
In the 10th and final round, Abhijeet drew with ninth seed Jan-Krzysztof Duda (Poland) while Debashis signed off his unbeaten campaign with an impressive victory over compatriot Sandipan Chanda. Abhijeet and Debashis finished at seven points and occupied the ninth and 10th spots.
Following a seven-way tie for the title at 7.5 points, the top four players were involved in a knockout tie-breaker. Eventually, Aronian beat second seed Maxime Vachier-Lagrave in the final. 
Important 10th round results (involving Indians): Abhijeet Gupta (7) drew with Jan-Krzysztof Duda (Pol, 7); S.P. Sethuraman (7) bt Ponsa Federico Perez (Arg, 6); Nihal Sarin (6.5) drew with Rasmus Svane (Ger, 6.5); Debashis Das (7) bt Sandipan Chanda (6); Pavel Tregubov (Rus, 6.5) drew with Swapnil Dhopade (6.5); S.L. Narayanan (7) bt Valentina Gunina (Rus, 6); Mariya Muzychuk (Ukr, 5.5) lost to P. Hari Krishna (6.5); Marin Bosiocic (Cro, 6.5) bt Shardul Gagare (5.5); Benjamin Gledura (Hun, 6.5) bt R. Praggnanandhaa (5.5); G.N. Gopal (6.5) bt Gomez Julio Suarez (Esp, 5.5); Sergey Grigoriants (Rus, 5.5) lost to Prasanna Rao (6.5); Alexandra Kostenuik (Rus, 5.5) lost to M.R. Venkatesh (6.5); Grigory Kaidanov (USA, 6.5) bt Mohammad Nubairshah Shaikh (5.5); Prithu Gupta (5.5) lost to M.R. Lalith Babu.
Final standings (after tie-break games): 1. Levon Aronian (Arm), 2. Maxime Vachier-Lagrave (Fra), 3-4. Hikaru Nakamura (USA) Richard Rapport (Hun). 
Leading Indians’ standings: 9-10. Abhijeet Gupta, Debashis Das; 16. S.P. Sethuraman, 23. S.L. Narayanan (7 each); 33. M.R. Venkatesh, 36. M.R. Lalith Babu, 39. P. Hari Krishna, 42. Swapnil Dhopade, 44-46. Prasanna Rao, G.N. Gopal and Nihal Sarin (6.5 each).
"
Sports,"
February 02, 2018 21:42 IST
","
Nisar, Avantika are fastest "," Delhi sprinter Nisar Ahmed justified his decision to postpone a training trip to Jamaica, becoming the fastest runner at the Khelo India School Games on Friday with a 10.76s finish in the 100m.
Nisar, in fact, completed in 10.77s even as the recall whistle went off, only to be told that the actual race would be run after 20 minutes.
Avantika Narale of Maharashtra was the fastest girl, winning the 100m in 12.35s.
In shooting, Shahu Mane shot 247.7 to equal the National record in the youth category and take the gold in 10m air rifle. 
Among the girls, Chandigarh's Zeena Khitta took gold ahead of Nandita Sul and Yana Rathore. 
The results: Athletics: 100m: Boys: 1. Nisar Ahmed (10.76s); 2. Shashikanth VA (10.90s); 3. Govind Kumar (10.95s). Girls: 1. Avantika Narale (12.35s); 2. R. Giridharani (12.49s); 3. M. Santra Teresa Martin (12.61s).
800m: Boys: 1. Anu Kumar (1:52.08); 2. N. Sree Kiran (1:54.13); 3. Vaseem Tomar (1:55.78). Girls: 1. Tai Bamhane (2:13.37); 2. Priscilla Daniel (2:13.91); 3. A.S. Sandra (2:15.92).
3000m: Boys: 1. Vishal Makwana (8:48.79); 2. Sandeep Kumar (8:49.52); 3. Siddharth Phor (8:53.53). Girls: 1. Seema (10:15.15); 2. Antima Pal (10:18.19); 3. Kajal Shamu (10:22.56).
110m hurdles: Boys: 1. Punga Soren (14.12s); 2. Aditya Prakash (14.30); 3. G Nishanthraja (14.57s). Girls: 1. Aparna Roy (14.02s); 2. PM Tabitha (14.36s); 3. Pratibha Kumari (14.54s).
Discus: Boys: 1. Ikram Ali Khan (51.39m); 2. Dhanvir Singh (50.64m); 3. Nagendra Annappa Naik (50.01m). Girls: 1. Pooja (41.01m); 2. A. Jenci Susan (40.43m); 3. Nitika Verma (39.27m). High jump: 1. Shahnawaz Khan (2.01m); 2. Mandeep Nain (1.98m); 3. Suraj Kumar (1.90m). Girls: 1. Rubina Yadav (1.76m); 2. Gayathry Siva Kumar (1.65m); 3. S.B. Supriya (1.65m). Shooting: 10m air rifle: Boys: 1. Shahu Mane (247.7); 2. Rithik Ramesh (245.6); 3. Parth Makhija (225.0). Girls: 1. Zeena Khitta (251.6); 2. Nandita Sul (249.3); 3. Yana Rathore (227.2).
Swimming: 200m freestyle: Boys: 1. Neel Roy (1:57.73); 2. M. Vasuram (2:01.01); 3. Veer Khatkar (2:01.72). Girls: 1. Khushi Dinesh (2:12.00); 2. Annie Jain (2:12.76); 3. Aastha Choudhary (2:18.20).
50m butterfly: Boys: 1. D. Adithya (26.21s); 2. M. Arjun (26.64s); 3. Neel Roy (26.67s). Girls: 1. Kenisha Gupta (29.27s); 2. Suvana C. Baskar (30.09s); 3. Dolphi Sarang (30.86s).
100m breaststroke: 1. Maibam Mangalsana Meitei (1:08.04); 2. P.J. Jagan Nathan (1:09.27); 3. Tanish Kaswan Nayaasar (1:10.43). Girls: 1. Saloni Dalal (1:18.00); 2. Aaliyah Singh (1:18.18); 3. Sharon Shaju (1:18.33).
400m individual medley: 1. Advait Page (4:36.73); 2. Swadesh Mondal (4:51.22); 3. Aaryan Bhosale (4:52.69). Girls: 1. Firdoush Kayamkhani (5:21.33); 2. Shrungi R. Bandekar (5:34.14); 3. G. Saachi (5:36.49).
4x100m freestyle: Girls: 1. Delhi (4:12.24); 2. Karnataka (4:18.70); 3. Haryana (4:21.51).
"
Sports,"
February 02, 2018 21:08 IST
","
Saqib continues to be on top
","He has been on the professional circuit for a little more than three years but Syed Saqib Ahmed has never felt so good before. During the practice rounds here, the 24-year-old from Bengaluru felt very different, felt that this could be his moment.
Still, Saqib was surprised with his splendid run in the PGTI Cochin Masters at Nedumbassery’s CIAL Golf Club which helped him maintain his overnight lead, with a four-shot lead, after Friday’s penultimate round. 
“I didn’t expect this at all. I’m just playing each shot as it comes, I’m not even expecting to win tomorrow,” said the young man, who has never won a PGTI title before but appears to be a favourite to triumph on Saturday. 
Saqib has been trying out yoga and meditation for the last six months, after a friend asked him to try them out, and now the results are showing. 
“Yes, I’m more focused on living ‘in the moment’,” explained Saqib who was a very impressive junior with many wins in the Indian Golf Union’s amateur circuit a few years ago.
Saqib appeared to be growing stronger with each hole at that stage early in the back nine and once even had a six-shot lead over his nearest rival before bogeys in the 14th and 18th holes pulled him down.
Chandigarh’s Abhijit Singh Chadha was in the second spot while his good friend, Noida’s Amardip, occupied the next rung.
Chandigarh’s Sujjan Singh, with the day’s best score of 68, was joint fourth along with Noida’s Gaurav Pratap Singh and Gurugram-based Ankur Chadha.
The scores (18 holes, par 72, day 3): 
1. Syed Saqib Ahmed (206), 2. Abhijith Singh Chadha (210), 3. Amardip Singh Malik (211), 4. Sujjan Singh, Gaurav Pratap Singh, Ankur Chadha (all 212), 7. Shankar Das (213), 8. Sudhir Sharma, Maniram, Honey Baisoya (all 214).
"
Sports,"
February 02, 2018 15:20 IST
","
I will be at my best in All England, says Marin
"," Olympic champion Carolina Marin has sent a warning to her rivals in the badminton world, saying she expects to be at her absolute best during next month’s All England Championships.
 The 24-year-old from Spain clinched two World Championship titles, an All England title beside the Olympic crown — all within three years between 2014 to 2016.
 But she lost motivation because of injuries post the Rio Games. Last year, she won the Japan Open and European Championship besides reaching the finals at India Open, Malaysia Open and Singapore Open.
 However, she suffered a hip injury during the Hong Kong Superseries and missed the Dubai Superseries Finals in December.
Marin feels she still needs to sharpen her skills and vowed to be at her best at the All England Championships.
“I feel my performance is not 100 per cent but it would be there in the All England. I feel motivated because I want to keep improving my game. I will prepare very well for All England,” said the former world no. 1 Marin.
“Last year it was hard because I had injuries after Olympics and my body needed a long break. It is always tough to keep going mentally after you have an injury but I have a good team.
“I had to believe in myself. I had to change my game during that phase and I didn’t get enough time to prepare for tournaments. I want to focus on improving my game after this event,” said Marin, who is playing at the India Open here.
 The All England Championships is schedule to be held from March 14 to 18 at Birmingham.
 Her mentor and chief coach Fernando Rivas will not travel with her for every tournament from now on and Marin said with her coach not around she needs to be more focused on court.
“I have another coach, who knows what I need. Fernando has a baby so he couldn’t come and he can’t be there in all tournaments with me. Now I will have to think more about myself and the game,” said Marin, who guided Hyderabad Hunters to title triumph in PBL 3 last month.
 Talking about competition in women’s singles, Marin said: “Women singles is really tough. Any player in top 10 can win any tournament because they are in the same level.
Every player changes their game. So we have to be really prepared.”
"
Sports,"
February 02, 2018 14:25 IST
","
Visu Palani — a calm and consummate hoopster
","“Visu Palani can beat anyone in ball control, his dribbling skills invariably making him come out trumps in one-on-one situations,” said former Indian basketball captain Hari Krishna Prasad. “Young, but very talented, he’s an accomplished shooter, who goes for a lot of assists,” the three-time Asian Basketball Confederation championship hoopster told The Hindu.
“Visu is the Bjorn Borg of Indian basketball,” observed Norman Isaac. “Not flustered even by the most blatant fouls, he’s calm, stable and mature when switching roles of ball handler and forward. What sets him apart is that he uses one arm to shoot, without a supporting hand, even when targeting the ring from a distance,” said the International Basketball Federation (FIBA) Commissioner.
The Tuticorin-native averaged 20 points for Telangana in the recent senior National championship at Chennai, even logging 33 in one game with as many as eight three-pointers.
“An intelligent schemer, few can stop him. His anticipation in defence is excellent, finding him faster to the ball than players on the offence. A selfless player, its not surprising that he gets along well with his teammates,” added Isaac, chairman, technical commission, Basketball Federation of India (BFI)
“Visu is an athletic player who uses his speed and jumping ability to get to the rim and finish. He also shoots the ball well from the 3-point-line. He is a really good defender on the perimeter as well. What I appreciate most is that he is constantly improving his fitness skill sets and is very ‘coachable,’” noted Jon Kimberlin, United Basketball Alliance (UBA) league Assistant Coach.
“The UBA league came in handy to showcase his abilities,” said Puneeth Suresh, Head Coach of Bangalore Beast and Jain University. “When he joined our university, he had a language problem but soon went on to play for Karnataka,” he said. Jain University clinched the bronze from among 750 varsities at the all India competition at Satyabhama University.
“When we see a rival player scoring, I task Visu to mark him. Sure enough, the opposition’s scoring declines,” said Suresh, who added Visu couldn’t go to the US for further training due to visa issues.
“Visu’s very disciplined and that’s the reason for his consistency in three seasons,” explained Thimmaiah Madanda, Vice President, Operations, UBA.
“After the UBA experience, this time I could score a lot more. I feel that people only got to know me after UBA, when they could see me play on live TV,” said Visu, who acknowledged the support of coaches Sathiya Sankar at SAV Higher Secondary School in Tuticorin and Suresh at Jain University. The teenager led the UBA in steals in season three and shot 54% from three-point range in season four.
"
Sports,"
February 03, 2018 22:59 IST
","
Sindhu sails into the final
","Favourite P. V. Sindhu produced a scintillating exhibition of controlled stroke-play to win the opening game 21-13 in 20 minutes against former World champion Ratchanok Intanon in the second semifinal of the $350,000 India Open badminton here Saturday.
Taking the court at 10 p.m. in what was the last fixture of the eight-match card on the TV court, Sindhu lost the first two points but then reeled off 12 points on the trot to lead 13-3. The 10-point lead provided enough cushion for Sindhu to stay in control.
Sindhu’s cross-court smashes and deft touches at the net kept Intanon guessing. Sindhu, who won her previous encounter against the Thai girl last year to bring her head-to-head record to 2-4, showed some exceptional anticipation.
However, owing to the poor scheduling of the semifinals, the exhausted winner of Sindhu-Intanon match will take on a well-rested Beiwen Zhang in Sunday’s final.
Unlike Zhang, who finished her match four hours the start of the second semifinal, Sindhu or Intanon were bound to get far less time to recover.
The 11th-ranked Zhang, seeded five, battled for 63 minutes to overcome sixth seed Cheung Ngan Yi 14-21, 21-12, 21-19. Zhang got her game together in the second game and carried on the momentum to hold four match-points in the decider. But the Hong Kong girl valiantly saved three match-points before she missed a dribble from Zhang.
The men final will offer third seed Chen Tien Chen an opportunity to do one better than he did last year. The Chinese Taipei player, runner-up to Viktor Axelsen here in the last edition, overcame unseeded Chinese Qiao Bin 23-21, 21-16. In the title-match, he faces another fourth seeded Chinese Shi Yuqi.
The 2017 All England runner-up Shi Yuqi needed 69 minutes to end the dream run of World No. 86 Iskandar Zulkarnain 18-21, 21-10, 21-19. The Malaysian, the back-to-back conqueror of second seed B. Srikanth and Sameer Verma, held a 16-12 lead in the decider before the eighth-ranked Shi Yuqi’s relentless attack finally found a way through his defences.
In fact, the point of the match came when Shi Yuqi held two match-poitns at 20-18. In a 42-shot rally, Zulkarnain came out stronger after the Chinese netted a forehand. However, off the next point, the match stood decided when Zulkarnain misjudged the flight of the shuttle that fell ‘in’.
In mixed doubles, the lone Indian pair of eighth seed Pranav Chopra and N. Sikky Reddy lost in straight games to their higher-ranked Danish rivals.
The results: (semifinals, prefix denotes seeding): Men singles: 3-Chen Tien Chen (Tpe) bt Qiao Bin (Chn) 23-21, 21-16; 4-Shi Yuqi (Chn) bt Iskandar Zulkarnain (Mal) 18-21, 21-10, 21-19.
Women singles: 1-P. V. Sindhu leads Ratchanok Intanon (Tha) 21-13, 6-5; 5-Beiwen Zhang (USA) bt 6-Cheung Ngan Yi (Hkg) 14-21, 21-12, 21-19.
Men doubles: 1-Marcus Fernaldi Gideon and Kevin Sanjaya Sukamuljo (Ina) bt Mohammad Ahsan and Hendra Setiawan (Ina) 21-11, 21-16; 4-Kim Astrup and Anders Skaaru Rasmussen (Den) bt Han Chengkai and Zhou Haodong (Chn) 21-19, 21-14.
Women doubles: 3-Greysia Polii and Apriyani Rahayu (Ina) bt 1-Kamilla Rytter Juhl and Christinna Pedersen (Den) 21-14, 19-21, 21-18; 2-Jongkolphan Kititharakul and Rawinda Prajongjai (Tha) bt Du Yue and Li Yinhui (Chn) 21-19, 21-17.
Mixed doubles: Praveen Jordan and Melati Daeva Oktavianti (Ina) bt 6-He Jiting and Du Yue (Chn) 21-19, 24-22; 5-Mathias Christiansen and Christinna Pedersen (Den) bt Pranav Chopra and Sikki Reddy 21-16, 21-19.
"
Sports,"
February 03, 2018 22:16 IST
","
Saqib’s long wait finally over
"," 
For a brief moment, as he came up with successive bogeys on the 15th and 16th holes in the final round on Saturday, Syed Saqib Ahmed felt his title chances slipping away in the PGTI Cochin Masters.
The 24-year-old golfer from Bengaluru had produced amazing play over the last two days, including a hole-in-one at Nedumbassery’s CIAL Golf Club, but suddenly everything appeared to be going up in smoke.
He then found out from his friends that Delhi’s Honey Baisoya, his nearest challenger who had started half hour earlier, had finished with a seven-under and realised that he had to buck up. And Saqib found his touch just in time, produced birdies in the last two holes, and clinched his maiden professional title.
The victory came with a cash prize of ₹6 lakh and took Saqib to the top of the 2018 PGTI Order of Merit after two events.
“I really felt the pressure after the bogeys on the 15th and 16th because both the par fives are actually easy holes,” said Saqib, who finished with a three-shot lead over the pre-tournament favourite Baisoya. 
“But I had a birdie on the 17th, which I think is one of the toughest. And the 18th went like a dream, I really didn’t think I could handle it so well. This is really a big burden off my head.”
The title ended three years of waiting for Saqib.
“I dedicate this, my first pro title, to my parents and my grandfather,” said the young man and then turned emotional.
Cochin International Airport Limited managing director V.J. Kurian gave away the prizes. 
The final placings (par 288, four day total, top 10): 1. Syed Saqib Ahmed (278), 2. Honey Baisoya (281), 3. M. Dharma & Abhijit Singh Chadha (both 283), 5. Ankur Chadha (284), 6. Veer Ahlawat, Maniram, Gaurav Pratap Singh (all 285), 9. Arjun Prasad & Karandeep Kochhar (286). 
"
Sports,"
February 03, 2018 22:15 IST
","
Om Prakash bags bronze
"," 
Om Prakash Mitharwal won the bronze ahead of compatriot Dharmendra Singh in the second air pistol match in the Intershoot international air gun shooting championship.
Joao Costa of Portugal, who had a modest 571 in qualification, beat former World champion Tomoyuki Matsuda to the gold.
The results:
10m air pistol: Men: 1. Joao Costa (Por) 242.8 (571); 2. Tomoyuki Matsuda (Jpn) 242.2 (584); 3. Om Prakash Mitharwal 221.4 (576); 4. Dharmendra Singh 197.0 (583); 7. Gaurav Tomar 137.7 (579); 20. Sumedh Kumar 564; 23. Omkar Singh 563; 53. Saurabh Singh 538; 54. Paras Sharma 533; 56. Swatantra Sohni 531.
Junior men: 1. Jimenez Fernando Gonzalez (Ger) 235.9 (562); 2. Martin Sorensen (Swe) 235.7 (554); 3. James Miller (GBr) 212.4 (549); 5. Gurman Singh Atwal 167.9 (559); 15. Parthpal 538; 17. Milan Chaudhary 535.
10m air rifle: 
Junior men: 1. William Gryden (Swe)243.0 (610.1); 2. Mauricio Gonzalez (Mex) 242.1 (613.8); 3. Jacob Hill (GBR) 221.7 (608.8); 4. Abhinav Bhaskar 200.3 (609.8).
 5. Avinash Yadav 180.0 (607.7); 7. Tanish Gallhotra 138.2 (614.8); 13. Aditya Agrawal 599.0.
"
