Category,Date_and_Time,Keywords,Article
International,"
February 02, 2018 22:38 IST
","
Exiled former President of the Maldives Mohamed Nasheed promises to contest elections again
","Mohamed Nasheed, the exiled former President of the Maldives, said on Friday he hoped to contest presidential polls this year, following a surprise Supreme Court ruling that ordered his immediate release.
“Now that all my civil and political rights have been restored, I will be able to contest elections,” he told The Hindu in Colombo.
The Maldives witnessed turmoil on Friday, after the Supreme Court late on Thursday nullified the convictions of Mr. Nasheed and eight others, terming their trials “questionable and politically motivated”. Mr. Nasheed was barred from contesting any election in the Maldives after his controversial 2015 conviction on a terrorism charge.
 

Maldives Supreme Court orders release of former President Mohamed Nasheed, eight others


The development, in the wake of growing allegations of corruption and authoritarianism against President Abdulla Yameen, sparked violent clashes in Male between police and large groups of dissidents. While opposition supporters demanded immediate implementation of the ruling, police used force to disperse the crowd, local sources said.
“The police pepper-sprayed many of us. They were trying to disperse the crowd that had assembled spontaneously in a show of solidarity and to celebrate the verdict,” Rushdha Rasheed, a journalist of Raajje TV, present at the rally, told The Hindu over telephone.
The Supreme Court in its ruling observed that the earlier trials were a violation of the Constitution and international law. The apex court has ordered new trials.
In an official statement issued on Friday morning, the government said it would “vet and clarify” the ruling. On Friday evening, the international spokesperson at the President’s office, Ibrahim Hussain Shihab, said the administration had “shared its concerns” with the Chief Justice over the ruling.
In a press briefing held in Male, Attorney General Uz. Mohamed Anil assured the media that the administration was working with all relevant authorities of the state, to carry out the speedy implementation of the Supreme Court ruling. However, the government is yet to implement the order, according to sources in Male.
 

I will return, even if I have to spend the rest of my life in jail: Mohamed Nasheed


India urged the Maldives government to “respect” the verdict. “In the spirit of democracy and rule of law, it is imperative for all organs of the government of Maldives to respect and abide by the order of the apex court. We also hope that the safety and security of the Indian expatriates in Maldives will be ensured by the Maldivian authorities under all circumstances,” the Ministry of External Affairs said in a press release.
Meanwhile, President Yameen dismissed the Commissioner of Police, Ahmed Areef. According to opposition sources and local media reports, the top cop tried to take measures to implement the ruling on Friday, even as some within the police and military reportedly resisted it. Asked about the Commissioner’s sudden removal, the President’s office confirmed the move, but did not give a reason.
On the apparent reluctance of the Yameen administration to act on the ruling, Mr. Nasheed said: “President Yameen knows that if he implements it, we [the Opposition] would have a majority in Parliament. He is reluctant because he does not want to contest elections against me.”
Mr. Nasheed has been living in London since 2016, after the U.K. granted him political asylum. The likely re-entry of Mr. Nasheed foretells a significant change in politics in Male, especially at a time when opposition forces were finding it hard to field a candidate to fight Mr. Yameen in polls.
Male has been buzzing with the prospect of some change for some time now, political sources in Male said, particularly after Opposition forces began working closely with each other in the last year.
In Mr. Nasheed’s view, while a “combination of factors” were likely to have prompted the court ruling, the “last straw” was a recent raid on a resort run by Gasim Ibrahim, a prominent Opposition politician and a high-profile businessman. Critics said the raid was politically motivated.
“Moreover, people have begun realising that there is a strong radical Islamist strand within the government, the deep state. China’s growing debt trap in the island is also concerning many, about the Maldives possibly relinquishing the country’s sovereignty to China,” he said.
Observing that India’s statement on the development was “very welcome”, Mr. Nasheed said India must not only be “more closely engaged” with Male, but also watch the developments closely and make sure the rule of law is upheld in the Maldives.
"
International,"
February 02, 2018 22:38 IST
","
Exiled former President of the Maldives Mohamed Nasheed promises to contest elections again
","Mohamed Nasheed, the exiled former President of the Maldives, said on Friday he hoped to contest presidential polls this year, following a surprise Supreme Court ruling that ordered his immediate release.
“Now that all my civil and political rights have been restored, I will be able to contest elections,” he told The Hindu in Colombo.
The Maldives witnessed turmoil on Friday, after the Supreme Court late on Thursday nullified the convictions of Mr. Nasheed and eight others, terming their trials “questionable and politically motivated”. Mr. Nasheed was barred from contesting any election in the Maldives after his controversial 2015 conviction on a terrorism charge.
 

Maldives Supreme Court orders release of former President Mohamed Nasheed, eight others


The development, in the wake of growing allegations of corruption and authoritarianism against President Abdulla Yameen, sparked violent clashes in Male between police and large groups of dissidents. While opposition supporters demanded immediate implementation of the ruling, police used force to disperse the crowd, local sources said.
“The police pepper-sprayed many of us. They were trying to disperse the crowd that had assembled spontaneously in a show of solidarity and to celebrate the verdict,” Rushdha Rasheed, a journalist of Raajje TV, present at the rally, told The Hindu over telephone.
The Supreme Court in its ruling observed that the earlier trials were a violation of the Constitution and international law. The apex court has ordered new trials.
In an official statement issued on Friday morning, the government said it would “vet and clarify” the ruling. On Friday evening, the international spokesperson at the President’s office, Ibrahim Hussain Shihab, said the administration had “shared its concerns” with the Chief Justice over the ruling.
In a press briefing held in Male, Attorney General Uz. Mohamed Anil assured the media that the administration was working with all relevant authorities of the state, to carry out the speedy implementation of the Supreme Court ruling. However, the government is yet to implement the order, according to sources in Male.
 

I will return, even if I have to spend the rest of my life in jail: Mohamed Nasheed


India urged the Maldives government to “respect” the verdict. “In the spirit of democracy and rule of law, it is imperative for all organs of the government of Maldives to respect and abide by the order of the apex court. We also hope that the safety and security of the Indian expatriates in Maldives will be ensured by the Maldivian authorities under all circumstances,” the Ministry of External Affairs said in a press release.
Meanwhile, President Yameen dismissed the Commissioner of Police, Ahmed Areef. According to opposition sources and local media reports, the top cop tried to take measures to implement the ruling on Friday, even as some within the police and military reportedly resisted it. Asked about the Commissioner’s sudden removal, the President’s office confirmed the move, but did not give a reason.
On the apparent reluctance of the Yameen administration to act on the ruling, Mr. Nasheed said: “President Yameen knows that if he implements it, we [the Opposition] would have a majority in Parliament. He is reluctant because he does not want to contest elections against me.”
Mr. Nasheed has been living in London since 2016, after the U.K. granted him political asylum. The likely re-entry of Mr. Nasheed foretells a significant change in politics in Male, especially at a time when opposition forces were finding it hard to field a candidate to fight Mr. Yameen in polls.
Male has been buzzing with the prospect of some change for some time now, political sources in Male said, particularly after Opposition forces began working closely with each other in the last year.
In Mr. Nasheed’s view, while a “combination of factors” were likely to have prompted the court ruling, the “last straw” was a recent raid on a resort run by Gasim Ibrahim, a prominent Opposition politician and a high-profile businessman. Critics said the raid was politically motivated.
“Moreover, people have begun realising that there is a strong radical Islamist strand within the government, the deep state. China’s growing debt trap in the island is also concerning many, about the Maldives possibly relinquishing the country’s sovereignty to China,” he said.
Observing that India’s statement on the development was “very welcome”, Mr. Nasheed said India must not only be “more closely engaged” with Male, but also watch the developments closely and make sure the rule of law is upheld in the Maldives.
"
International,"
February 02, 2018 22:38 IST
","
Exiled former President of the Maldives Mohamed Nasheed promises to contest elections again
","Mohamed Nasheed, the exiled former President of the Maldives, said on Friday he hoped to contest presidential polls this year, following a surprise Supreme Court ruling that ordered his immediate release.
“Now that all my civil and political rights have been restored, I will be able to contest elections,” he told The Hindu in Colombo.
The Maldives witnessed turmoil on Friday, after the Supreme Court late on Thursday nullified the convictions of Mr. Nasheed and eight others, terming their trials “questionable and politically motivated”. Mr. Nasheed was barred from contesting any election in the Maldives after his controversial 2015 conviction on a terrorism charge.
 

Maldives Supreme Court orders release of former President Mohamed Nasheed, eight others


The development, in the wake of growing allegations of corruption and authoritarianism against President Abdulla Yameen, sparked violent clashes in Male between police and large groups of dissidents. While opposition supporters demanded immediate implementation of the ruling, police used force to disperse the crowd, local sources said.
“The police pepper-sprayed many of us. They were trying to disperse the crowd that had assembled spontaneously in a show of solidarity and to celebrate the verdict,” Rushdha Rasheed, a journalist of Raajje TV, present at the rally, told The Hindu over telephone.
The Supreme Court in its ruling observed that the earlier trials were a violation of the Constitution and international law. The apex court has ordered new trials.
In an official statement issued on Friday morning, the government said it would “vet and clarify” the ruling. On Friday evening, the international spokesperson at the President’s office, Ibrahim Hussain Shihab, said the administration had “shared its concerns” with the Chief Justice over the ruling.
In a press briefing held in Male, Attorney General Uz. Mohamed Anil assured the media that the administration was working with all relevant authorities of the state, to carry out the speedy implementation of the Supreme Court ruling. However, the government is yet to implement the order, according to sources in Male.
 

I will return, even if I have to spend the rest of my life in jail: Mohamed Nasheed


India urged the Maldives government to “respect” the verdict. “In the spirit of democracy and rule of law, it is imperative for all organs of the government of Maldives to respect and abide by the order of the apex court. We also hope that the safety and security of the Indian expatriates in Maldives will be ensured by the Maldivian authorities under all circumstances,” the Ministry of External Affairs said in a press release.
Meanwhile, President Yameen dismissed the Commissioner of Police, Ahmed Areef. According to opposition sources and local media reports, the top cop tried to take measures to implement the ruling on Friday, even as some within the police and military reportedly resisted it. Asked about the Commissioner’s sudden removal, the President’s office confirmed the move, but did not give a reason.
On the apparent reluctance of the Yameen administration to act on the ruling, Mr. Nasheed said: “President Yameen knows that if he implements it, we [the Opposition] would have a majority in Parliament. He is reluctant because he does not want to contest elections against me.”
Mr. Nasheed has been living in London since 2016, after the U.K. granted him political asylum. The likely re-entry of Mr. Nasheed foretells a significant change in politics in Male, especially at a time when opposition forces were finding it hard to field a candidate to fight Mr. Yameen in polls.
Male has been buzzing with the prospect of some change for some time now, political sources in Male said, particularly after Opposition forces began working closely with each other in the last year.
In Mr. Nasheed’s view, while a “combination of factors” were likely to have prompted the court ruling, the “last straw” was a recent raid on a resort run by Gasim Ibrahim, a prominent Opposition politician and a high-profile businessman. Critics said the raid was politically motivated.
“Moreover, people have begun realising that there is a strong radical Islamist strand within the government, the deep state. China’s growing debt trap in the island is also concerning many, about the Maldives possibly relinquishing the country’s sovereignty to China,” he said.
Observing that India’s statement on the development was “very welcome”, Mr. Nasheed said India must not only be “more closely engaged” with Male, but also watch the developments closely and make sure the rule of law is upheld in the Maldives.
"
International,"
February 02, 2018 22:00 IST
","
Face of money: Ukrainian artists create Trump portrait ","They shot to fame in 2015 with a portrait of Vladimir Putin made of bullet shells from the killing fields of eastern Ukraine. Now, the two Ukrainian artists are back with a portrait of Donald Trump made from coins and poker chips.
Threats forced Daria Marchenko, 35, and Daniel Green, 34, to leave their homeland in November 2016. They now lead an itinerant life, travelling and exhibiting their work in the United States and Latin America. 
The Trump portrait, finished one month ago, is made of nearly 4,000 one cent and five-cent pieces. Poker chips are used for the US president’s shoulders.
The artists are now searching for a place for a public unveiling.
As with their Face of War portrait of the Russian leader, the Trump version, called “Face of Money” plays in the light revealing different expressions. 
They came up with the idea of the enormous portrait — nearly eight foot by five foot — last summer when Mr. Putin ordered the United States to reduce its diplomatic footprint in Russia by 755 employees.
Mr. Trump responded by thanking Mr. Putin, saying it would allow the United States to cut down its payroll and “save a lot of money.” 
“I thought, ‘oh my God, you are so cheap, how can you be American president’?” says Mr. Green. “At that moment, I thought coins is the best way to show his portrait.”
The duo deliberately chose one cent and five-cent pieces, the smallest denominations of U.S. currency, to illustrate their point.
The poker chips are a nod to the casinos the billionaire once ran in Atlantic City, New Jersey.
"
International,"
February 02, 2018 21:54 IST
","
Japan’s ‘Insta-gran’ turns famous
","An 89-year-old Japanese woman armed with a camera and an appetite for mischief has shot to fame for taking side-splitting selfies — many of which appear to put her in harm’s way.
Kimiko Nishimoto tweaks the nose of fear: she has amassed more than 43,000 followers in just a few months since she started posting her hilarious snaps on Instagram.
The goofy photos show the fun-loving pensioner riding a broomstick like Harry Potter or, even more alarmingly, knocked over in an apparent traffic accident. “I’ve actually never injured myself taking a photo,” said Ms. Nishimoto at her home in Kumamoto, western Japan.
“I’m always focusing hard on taking a fun photo so I really don’t think about the danger too much,” she explains.
Ms. Nishimoto, who only took up photography aged 72, reveals she quickly became hooked on the hobby after being invited to join a local class.
A decade later she secured her first solo exhibition — held in her home town — but Ms. Nishimoto’s recent decision to showcase snaps of her daredevil stunts on social media has now catapulted her to stardom. Such is her celebrity now that many fans were shut out of her exhibition at a Tokyo gallery in December as it struggled to cope with the crowds.
“At first I didn’t even know that my photos were that popular,” she says, “It’s not so much that I’m trying to shock people, I just take photos that I find funny. It’s just a bit of fun really.”
Ms. Nishimoto manages her social media accounts herself through her smartphone, while her son helps her to set up some of the shots. She has three grandchildren and six great-grandchildren.
Many of Nishimoto’s photos show her face contorted in mock anguish.
"
International,"
February 02, 2018 21:17 IST
","
Fraternity songbook in Austria glorifies Nazis "," A scandal in Austria over a student fraternity songbook with lyrics glorifying Nazis has put the new government under pressure and prompted soul-searching about the country’s relationship with its past.
The songbook, contained lyrics such as “Step on the gas... we can make it to seven million”, a reference to the six million Jews killed in the Holocaust.
The timing could not have been worse for Udo Landbauer, a candidate for the far-right Freedom Party (FPOe) in elections in Lower Austria State last Sunday — and the Germania fraternity’s vice-president.
After what Mr. Landbauer called a “media witch-hunt” and protesting he knew nothing about the book, the 31-year-old resigned on Thursday and suspended his party membership pending an investigation. The affair has thrown a spotlight on the FPOe and on the fraternities that many senior party members belong to. 
"
International,"
February 02, 2018 21:10 IST
","
‘British press focusses on negative reports on India,’ says India’s High Commissioner in London "," The British press focussed too much on negative stories about India, India’s High Commissioner in London Y.K. Sinha said at an event in Parliament this week, urging parliamentarians and others in both countries to become champions of a stronger bilateral relationship. 
Pointing to the The Times, the Guardian and the Financial Times (the last of which he said had been very bullish on India until very recently), he said stories about India focussed on negative angles. “Where is India’s success story? Why is everyone queuing up to assiduously woo India?: there must be a reason. There is something right happening in India and I’m afraid that story is not being well publicised,” he said at an event organised on the contribution of Indian companies in Britain.
Despite India being set to grow at 7.1% this year and 7.8% next year, it was still being criticised for not growing fast enough, said Mr. Sinha. “India is the story of today and it will be the story of tomorrow... Engaging India is extremely important.” The High Commissioner said that while India and Britain’s long history could be seen as an advantage, it also could be a disadvantage. “People here feel they know India well but I’m afraid they don’t,” he said.
His emphasis on the bilateral relationship was echoed by Baron O’ Neill , the economist who coined the phase BRICS. “India could do so much better,” he said, arguing that given demographic trends, the country could be growing at 12.5%. 
“Between 2015 and 2035 just the increase in India’s working age population will be bigger than the combined working population of the four largest EU countries… if that translates into people actually having jobs... in my judgment, India could easily repeat in the next 20 years at least what China has done in the past 30 years and grow by double digits... They need to do more stuff in order to achieve this,” he said. 
PM’S U.K. visit 
The High Commissioner also highlighted Prime Minister Narendra Modi’s forthcoming visit to Britain — which will combine the Commonwealth Heads of Government Meeting in London in April and a bilateral visit. 
The Commonwealth had until recently suffered from “benign neglect”, he said. As Britain prepared to leave the EU it was time for the country and others to look towards the Commonwealth not just as “an old boy’s club to talk about shared legacies of the past…we have to be forward looking,” said the High Commissioner .
"
International,"
February 02, 2018 21:00 IST
","
China asks microblogs to tighten web policing "," China on Friday ordered the country’s microblog operators to establish mechanisms to remove false information, in the latest move by authorities to tighten web policing.
The Cyberspace Administration of China (CAC) said the Twitter-like microblog platforms had allowed the spread of pornographic, vulgar and fraudulent content.
In addition to making sure to remove such content, companies should also keep a copy of what users post for at least six months, the CAC said in an online statement.
“Microblogging service providers shall play an active role in promoting economic development and serving the general public by promoting the core values of socialism,” it said. The statement did not go into any detail on what the new mechanisms should include.
China tightly controls the Internet through a censorship system known as the “Great Firewall” and closely monitors social media networks for sensitive content. 
Regulations in force since 2000 say websites are responsible for “ensuring the legality of any information” posted on their platforms.
China’s leading microblogging website by far, Sina Weibo, already uses automated scans and censorship teams to remove inappropriate content, but has not disclosed how many employees are involved in the work. 
Regulations that came into force last June require online platforms to get a licence to post news reports about the government, economy, military, foreign affairs, and social issues.
"
International,"
February 02, 2018 20:54 IST
","
Giants grow in Galapagos nursery
","Crowded under a rock in the Galapagos archipelago, the baby tortoises wait for the sun to go down to leave their shelter.
Nothing disturbs these eastern Santa Cruz tortoises (Chelondis donfaustoi), which were determined just two years ago to be a new species native to the Ecuadoran islands that inspired Charles Darwin.
Kept safe on Santa Cruz island and raised in captivity, their nursery is one of three centres in the archipelago’s national park where 12 species of giant tortoises, unique in the world, are bred.
Stretching their necks and poking their heads out of tiny shells, they nibble on nutritious, starchy leaves of tropical plants brought in from the continent 1,000 km away. Digestion plunges them into afternoon slumber.
Long lifespan
“We let them stay a little hungry. That way, when they return to the wild they go looking for their food,” the director of the national park, Walter Bustos, told AFP.
It’s not yet time to let the tortoises go free. For that, their shells have to be 23 cm to 25 cm long, meaning around four or five years of age. That’s an insignificant span for these reptiles that can live up to a century and a half, reaching up to two meters (over six feet) long and weighing up to 450 kilograms.
Up until 2002, the scientific community believed all the tortoises on Santa Cruz island, the second biggest in the Galapagos, came from the same species, Chelonoidis porteri. But after years of genetic studies it was discovered in 2015 that those on the eastern part of the island, on Cerro Fatal (Deadly Hill), were a species apart: Chelonoidis donfaustoi.
There are not many of them, fewer than 400, and the threat of predators prompted park authorities to collect their eggs to hatch them and raise the babies in protective captivity to ensure their survival.
The plan is to release them, once mature, in the same spot where their original nests were found.
"
International,"
February 02, 2018 19:38 IST
","
Trump accuses Justice Department, FBI of pro-Democrat bias
"," U.S. President Donald Trump publicly attacked the FBI’s leadership on February 2, accusing them of politicising their investigations in favour of Democrats as he gets set to approve the release of an explosive memo alleging the agency’s abuse of power.
The extraordinary accusation is the latest salvo in the President’s open conflict with the top U.S. law enforcement agency amid an investigation into possible Trump campaign collusion with a Russian effort to sway the 2016 presidential elections.
Mr. Trump is expected to give a green light for the the publication of a Republican-drafted memo accusing the agency of abuses in obtaining a warrant to monitor a member of Mr. Trump’s campaign team over his contacts with Russian officials. 
“The top Leadership and Investigators of the FBI and the Justice Department have politicized the sacred investigative process in favour of Democrats and against Republicans,” Mr. Trump tweeted. He called the alleged bias “something which would have been unthinkable just a short time ago. Rank & File are great people!”
Mr. Trump nominated both Attorney-General Jeff Sessions and FBI director Christopher Wray as leaders of their respective departments. The Republican President hand-picked the latter to replace James Comey, whom he abruptly sacked in May 2017.
Now just six months into his tenure, the 50-year-old Mr. Wray — who has made clear he does not support releasing the memo — finds himself on a collision course with the President.
The four-page memo was written by Republican lawmaker Devin Nunes, chairman of the House Intelligence Committee, and purports to show the Justice Department and the FBI as deeply politicised, anti-Trump agencies.
Its release would amount to an outright rejection of the FBI’s extraordinary warning on January 30 that it had “grave concerns about material omissions of fact that fundamentally impact the memo’s accuracy”.
Adam Schiff, the top Democrat on the House intelligence committee, reacted swiftly to the President’s tweet: “The country’s top elected leader has agreed to selectively and misleadingly release classified info to attack the FBI — that’s what would’ve been unthinkable a short time ago.”
Democrats and critics in the intelligence community say the release is a stunt aimed at casting doubt on the independence of the FBI and Justice Department, using very selective information that cannot be countered publicly without revealing more secrets about government counter-intelligence operations.
They hold that the ultimate goal of the memo, with Mr. Trump’s support, is to undermine special counsel Robert Mueller’s investigation into possible Trump campaign collusion with Russia and possible obstruction of justice.
Speaking to CBS on February 2 morning, Mr. Schiff said the President’s early morning missive made plain that the memo’s release was “designed to impugn the credibility of the FBI — to undermine the investigation; to give the President additional fodder to attack the investigation”. “It’s a tremendous disservice to the American people, who are going to be misled by this — by the selective use of classified information.”
Based on highly classified documents dealing with Russian espionage, Mr. Nunes’ memo is his summary of what lay behind the FBI obtaining a so-called FISA national security warrant in 2016 to monitor Trump campaign official Carter Page, who had many Russian contacts.
Mr. Nunes alleges that the basis of the warrant application was the “Russia dossier”, information on contacts between the Trump campaign and Moscow compiled by former British intelligence agent Christopher Steele.
The dossier remains contentious and unproven, and was financed in part by Democrat Hillary Clinton’s presidential campaign — a fact that Mr. Nunes says shows the FBI and Justice Department’s anti-Trump bias and abuse of power.
Paul Ryan, the Republican Speaker of the House of Representatives, defended the memo on February 1 as an attempt to protect American civil liberties. “This memo is not an indictment of the FBI or the Department of Justice,” Mr. Ryan said.
“What it is, is the Congress’s legitimate function of oversight to make sure that the FISA process is being used correctly,” he said, adding “this does not implicate the Mueller investigation.”
Other Republicans, including Representative Jeff Duncan, seemed less reticent to cast it all in a political light.
“Having read ‘The Memo,’ the FBI is right to have ‘grave concerns’ — as it will shake the organization down to its core — showing Americans just how the agency was weaponised by the Obama officials/DNC/HRC to target political adversaries,” Mr. Duncan tweeted. 
"
